content,score,sentiment_polarity,sentiment_subjective,sentiment_rating,wordCount,review_without_stopwords,wordCount_after_stopwords
pengalaman pertama bagus,4,0.0,0.0,Positive,3,pengalaman bagus,2
dokternya cepat respon,5,0.0,0.0,Positive,3,dokternya cepat respon,3
mantap sangat membantu,5,0.0,0.0,Positive,3,mantap membantu,2
aplikasi sangat membantu sekali,1,0.0,0.0,Negative,4,aplikasi membantu,2
baik terima kasih dok bantuannya,5,0.0,0.0,Positive,5,terima kasih dok bantuannya,4
oke,5,0.0,0.0,Positive,1,oke,1
"oke sih.. aplikasi ini memang membantu kalau kita sekedar sakit ringan seperti flu, batuk, pilek. tapi untuk sakit yg butuh perawatan. seperti covid atau konsultasi psikolog. tidak bisa menggantikan perawatan tatap muka secara langsung dengan dokter dan psikiater",4,0.0,0.0,Positive,44,oke sih aplikasi membantu sekedar sakit ringan flu batuk pilek sakit butuh perawatan covid konsultasi psikolog menggantikan perawatan tatap muka langsung dokter psikiater,23
god job,5,0.0,0.0,Positive,2,god job,2
masyaa allah sangat membantu,5,0.0,0.0,Positive,4,masyaa allah membantu,3
dokter saya wanita usia 63 tahun mudah capek dan suka sakit di punggung apakah saya bisa minum obat asam folat,5,0.0,0.0,Positive,20,dokter wanita usia 63 mudah capek suka sakit punggung minum obat asam folat,13
luarbiasa,4,0.0,0.0,Positive,1,luarbiasa,1
cepat tanggap,5,0.0,0.0,Positive,2,cepat tanggap,2
sangat bermanfaat sekali aplikasinya,5,0.0,0.0,Positive,4,bermanfaat aplikasinya,2
insya allah membantu.,5,0.0,0.0,Positive,4,insya allah membantu,3
membantu terutama untuk para perantau,5,0.0,0.0,Positive,5,membantu perantau,2
luar biasa pelayanan nya bagus sekali,5,0.0,0.0,Positive,6,pelayanan bagus,2
suip,5,0.0,0.0,Positive,1,suip,1
sangat membantu dan keteranganya sangat jelas. terima kasih,5,0.0,0.0,Positive,9,membantu keteranganya terima kasih,4
sangat membantu,5,0.0,0.0,Positive,2,membantu,1
ok,5,0.5,0.5,Positive,1,ok,1
sangat membantu dan berguna,5,0.0,0.0,Positive,4,membantu berguna,2
penjelasannya detail dan komprehensif.,5,0.0,0.0,Positive,5,penjelasannya detail komprehensif,3
saya mau tanya ni.ada yg nlp menawarkan asuransi proteksi dbd dengan biaya 95 ribu tiap bulan dipotong lngsung otomatis dri rek bank.yg saya mau tanyakan apa bila sudah terdaftar trus tiba tiba mau membatal kan asuransi tersebut apakah uang yg sudah otomatis di ambil dri rek kita akan dikembalikan ke kita lagi.atau kah hangus saja,5,0.0,0.0,Positive,55,niada nlp menawarkan asuransi proteksi dbd biaya 95 ribu dipotong lngsung otomatis dri rek bankyg terdaftar trus membatal asuransi uang otomatis ambil dri rek dikembalikan lagiatau kah hangus,28
sangat membantu,5,0.0,0.0,Positive,2,membantu,1
terima kasih..,5,0.0,0.0,Positive,3,terima kasih,2
dokternya bagus dan ramah,5,0.0,0.0,Positive,4,dokternya bagus ramah,3
"udah bayar, di suruh nunggu tapi gx ada respon sama sekali. ini aplikasi nipu ya? orang lagi sakit kok masih di tipu?? jangan download... aplikasi ini.!!!",1,0.0,0.0,Negative,35,udah bayar suruh nunggu gx respon aplikasi nipu orang sakit tipu download aplikasi,13
respon baik .trimakasih dokter,5,0.0,0.0,Positive,4,respon trimakasih dokter,3
sangat membantu,5,0.0,0.0,Positive,2,membantu,1
semoga tmbh pnglman,5,0.0,0.0,Positive,3,semoga tmbh pnglman,3
"cm chat aja harus bayar? dulu gratis. apa"" sekarang serba duit!",1,0.0,0.0,Negative,15,cm chat bayar gratis serba duit,6
"ya cukup membantu, walaupun kurang puas",4,0.0,0.0,Positive,7,membantu puas,2
good,5,0.7,0.6000000000000001,Positive,1,good,1
mantap,5,0.0,0.0,Positive,1,mantap,1
sudah 5 abad saya tunggu kode verifikasinya tapi gak sampai sampai,1,0.0,0.0,Negative,11,5 abad tunggu kode verifikasinya gak,6
kurang puas dg jawaban dokter,2,0.0,0.0,Negative,5,puas dokter,2
saya berbayar dan dokter tidak membalas chat saya,1,0.0,0.0,Negative,8,berbayar dokter membalas chat,4
tolong respon non aktif autodebit! saya blm pake fitur nya! knp susah bgt mau non aktif autodebit??!! di hubungi susah mau gaji buta?,1,0.0,0.0,Negative,30,tolong respon non aktif autodebit blm pake fitur knp susah bgt non aktif autodebit hubungi susah gaji buta,18
bagus,4,0.0,0.0,Positive,1,bagus,1
sangat membantu...,5,0.0,0.0,Positive,3,membantu,1
oke,5,0.0,0.0,Positive,1,oke,1
sangat terjangkau untuk masyarakat. semoga bisa bermanfaat,5,0.0,0.0,Positive,8,terjangkau masyarakat semoga bermanfaat,4
alhamdulillah bisa membantu saya,5,0.0,0.0,Positive,4,alhamdulillah membantu,2
sangat membantu,5,0.0,0.0,Positive,2,membantu,1
sangat membantu. terima kasih,5,0.0,0.0,Positive,5,membantu terima kasih,3
terima kasih penjelasannya,5,0.0,0.0,Positive,3,terima kasih penjelasannya,3
gokil ni,5,0.0,0.0,Positive,2,gokil ni,2
oke,5,0.0,0.0,Positive,1,oke,1
sdh menyerah pakai aplikasi ini,1,0.0,0.0,Negative,5,sdh menyerah pakai aplikasi,4
very helpfull,5,0.2,0.3,Positive,2,very helpfull,2
puas banget dengan pelayanan salah satu dokternya a/n dr. puri dwi andina,5,0.0,0.0,Positive,12,puas banget pelayanan salah dokternya an dr puri dwi andina,10
dokternya ramah pelayanan cepat,5,0.0,0.0,Positive,4,dokternya ramah pelayanan cepat,4
dulu dokter umumnya gratis tpi sekarang bayar 8500 kecewa q,1,0.0,0.0,Negative,10,dokter gratis tpi bayar 8500 kecewa q,7
sangat bermanfaat dan membantu,5,0.0,0.0,Positive,4,bermanfaat membantu,2
tolong hapus data saya. ga pernah konsultasi. niat bamtu sales malah saldo kena potong. merugikan!,1,0.0,0.0,Negative,19,tolong hapus data ga konsultasi niat bamtu sales saldo kena potong merugikan,12
pelayanan kurang,1,0.0,0.0,Negative,2,pelayanan,1
"sangat membantu sekali alodokter sukses terus,",5,0.0,0.0,Positive,7,membantu alodokter sukses,3
cukup menolong di saat terjebak dengan kegalauan terutama soal anak. apalagi ketika waktu tidak mendukung temu langsung dengan dokter. googling bikin makin stres karena tidak tau mana artikel yang dapat dipercaya. berbicara dengan dokter setidaknya mengarahkan pikiran kita lebih fokus. meskipun ujung2 nya pasti butuh kunjungan langsung ke dokter terkait.,4,0.0,0.0,Positive,55,menolong terjebak kegalauan anak mendukung temu langsung dokter googling bikin stres tau artikel dipercaya berbicara dokter mengarahkan pikiran fokus ujung2 butuh kunjungan langsung dokter terkait,25
beri 3 dulu,3,0.0,0.0,Neutral,3,3,1
mudah di gunakan,5,0.0,0.0,Positive,3,mudah,1
mantap,5,0.0,0.0,Positive,1,mantap,1
sangat membantu,5,0.0,0.0,Positive,2,membantu,1
"sukses terus alodokter keren banget, respon cepat, terus konsultasi tenang aman dan baik banget penjelasannya juga jelas banget dan jadinya ngak terlalu khawatir berlebihan. terimakasih alodokter",5,0.0,0.0,Positive,29,sukses alodokter keren banget respon cepat konsultasi tenang aman banget penjelasannya banget ngak khawatir terimakasih alodokter,16
sangat membantu sekali,5,0.0,0.0,Positive,3,membantu,1
ka mau tanya kenapa saya gak ap2 kenapa saldo saya slalu dipotong tiap bulan,1,0.0,0.0,Negative,14,ka gak ap2 saldo slalu dipotong,6
sangat bermanfaat,5,0.0,0.0,Positive,2,bermanfaat,1
sangat membantu,5,0.0,0.0,Positive,2,membantu,1
"hallo dok,saya telat men 2 minggu minum obat apa biar bisa men kembali",1,0.0,0.0,Negative,15,hallo doksaya telat men 2 minggu minum obat biar men,10
sangat membantu sekali terimakasih alodokter,5,0.0,0.0,Positive,5,membantu terimakasih alodokter,3
semoga informasinya akurat an terpercaya krn ini menyangkut kesehatan manusia,5,0.0,0.0,Positive,10,semoga informasinya akurat an terpercaya krn kesehatan manusia,8
membantu banget,5,0.0,0.0,Positive,2,membantu banget,2
aplikasi taeee. daftrr aja ga bisa diklik.,1,0.0,0.0,Negative,9,aplikasi taeee daftrr ga diklik,5
responsif,5,0.0,0.0,Positive,1,responsif,1
fast respon tp belum spesifik menjawab keluhan,4,0.2,0.6,Positive,7,fast respon tp spesifik keluhan,5
menjembatani keluhan panderita covid 19 dengan komplikasi diabet pada kementrian kesehatan,5,0.0,0.0,Positive,11,menjembatani keluhan panderita covid 19 komplikasi diabet kementrian kesehatan,9
pelayanan nya baik dan mampu menjelaskan secara detail dan lengkap,5,0.0,0.0,Positive,10,pelayanan detail lengkap,3
"sangat membantu sekali. konsultasi dokter nya sopan baik,",5,0.0,0.0,Positive,10,membantu konsultasi dokter sopan,4
"terima kasih atas pelayanan yg memuaskan. ini pengalaman pertama says menggunakan layanan alodokter, memberikan kepuasan tersendiri. layanan kesehatan dengan chat memberikan solusi yg sangat baik.",5,0.0,0.0,Positive,29,terima kasih pelayanan memuaskan pengalaman says layanan alodokter kepuasan tersendiri layanan kesehatan chat solusi,14
terimakasih sangat membantu terutama dr rossiana tantri sudah membantu memberikan penjelasan atas konsul hari ini,5,0.0,0.0,Positive,15,terimakasih membantu dr rossiana tantri membantu penjelasan konsul,8
"saya mendaftar untuk janji temu dengan dokter spesialis h-1 untuk janji hari h jam 8.00 pas hari h jam 7.30 janji saya disetujui dan saya di wa agar datang sesuai jadwal janji yang telah disepakati tersebut .ketika saya sampai sesuai rs dan jam nya malah dibilang dari rs nya jam nya jam 1 siang,tolong alodokter kalau tidak bsa membuat janji ya jangan dibuat aplikasinya",1,0.0,0.0,Negative,66,mendaftar janji temu dokter spesialis h1 janji h jam 800 pas h jam 730 janji disetujui wa sesuai jadwal janji disepakati sesuai rs jam dibilang rs jam jam 1 siangtolong alodokter bsa janji aplikasinya,34
sangat membantu,5,0.0,0.0,Positive,2,membantu,1
dokternya sangat baik dalam menjelaskan penyakit saya,5,0.0,0.0,Positive,7,dokternya penyakit,2
sangat membantu,5,0.0,0.0,Positive,2,membantu,1
bagus,5,0.0,0.0,Positive,1,bagus,1
"saya senang dengan aplikasi ini. pelayanan dari dokter fast respon, langsung ditanggapi. tapi setelah resep yg diberikan dokter diberikan dan sudah melakukan pembayaran. pengiriman sangat lama. yang instant aja saya masih menunggu dari kemarin siang hingga sekarang masih saja belum dikirim. padahal tertulis pengiriman maksimal 3 jam dari pemesanan. buktinya bohong. cukup sekali ini saja beli obat di alodokter. mending tetap ke apotek biasa saja.",1,0.1,0.6333333333333333,Negative,75,senang aplikasi pelayanan dokter fast respon langsung ditanggapi resep dokter pembayaran pengiriman instant menunggu kemarin siang dikirim tertulis pengiriman maksimal 3 jam pemesanan buktinya bohong beli obat alodokter mending apotek,30
cepat dan tanggap,5,0.0,0.0,Positive,3,cepat tanggap,2
respon dokter sangat cepat dan sangat membantu kami yg isoman. terima kasih dokter nurul falah dan semua dokter yg bertugas membantu kami semua. terima kasih alodokter.,5,0.0,0.0,Positive,29,respon dokter cepat membantu isoman terima kasih dokter nurul falah dokter bertugas membantu terima kasih alodokter,16
sangat membantu dan respon cepat,5,0.0,0.0,Positive,5,membantu respon cepat,3
good,5,0.7,0.6000000000000001,Positive,1,good,1
"bagus , fast respon, terimakasih dokter arief",5,0.2,0.6,Positive,8,bagus fast respon terimakasih dokter arief,6
"bangke saldo gie di potong mulu gara"" salesss assu padahal gak pernah gue pake",1,0.0,0.0,Negative,15,bangke saldo gie potong mulu gara salesss assu gak gue pake,11
best,5,1.0,0.3,Positive,1,best,1
sangat membantu,5,0.0,0.0,Positive,2,membantu,1
baru nyoba,3,0.0,0.0,Neutral,2,nyoba,1
"udah bayar, ngetik, upload foto. tiba2 dokter statusnya sibuk lg melayani pasien lain. nunggu, coba lagi smp banyak kali pas online, tiba2 sibuk lg, coba lagi, sibuk lagi. nggak berhasil2. tiba2 jam praktek dokternya udah habis aja...",1,0.0,0.0,Negative,48,udah bayar ngetik upload foto tiba2 dokter statusnya sibuk lg melayani pasien nunggu coba smp kali pas online tiba2 sibuk lg coba sibuk nggak berhasil2 tiba2 jam praktek dokternya udah habis,31
terimakasihhhhh membantu,5,0.0,0.0,Positive,2,terimakasihhhhh membantu,2
baguss skali,5,0.0,0.0,Positive,2,baguss skali,2
ambuuuuuuuuuuuuuuuuuuh h,5,0.0,0.0,Positive,2,ambuuuuuuuuuuuuuuuuuuh h,2
mantap,5,0.0,0.0,Positive,1,mantap,1
"terima kasih , ini sangat membantu sekali...",5,0.0,0.0,Positive,8,terima kasih membantu,3
good,5,0.7,0.6000000000000001,Positive,1,good,1
cepat respon nya,5,0.0,0.0,Positive,3,cepat respon,2
sangat membantu di masa pendemi,5,0.0,0.0,Positive,5,membantu pendemi,2
baguss,5,0.0,0.0,Positive,1,baguss,1
"belum banyak pengalaman, baru mulai",5,0.0,0.0,Positive,6,pengalaman,1
mantul,5,0.0,0.0,Positive,1,mantul,1
kukira gratis chat ternyata berbayar mendingan ke dokter terdekat,3,0.0,0.0,Neutral,9,kukira gratis chat berbayar mendingan dokter terdekat,7
bayar dlu kalo mau konsul,1,0.0,0.0,Negative,5,bayar dlu kalo konsul,4
sangat membantu sekali ,5,0.0,0.0,Positive,3,membantu,1
fast respon and very helpfuly,5,0.2,0.44999999999999996,Positive,5,fast respon and very helpfuly,5
udah bayar tapi bayarnya gabisa lewat dana,1,0.0,0.0,Negative,7,udah bayar bayarnya gabisa dana,5
sangat membantu,5,0.0,0.0,Positive,2,membantu,1
"ramah, sangat baik dan sangat membantu",5,0.0,0.0,Positive,7,ramah membantu,2
good respon,5,0.7,0.6000000000000001,Positive,2,good respon,2
"chat langsung di respon,",5,0.0,0.0,Positive,5,chat langsung respon,3
bagus,5,0.0,0.0,Positive,1,bagus,1
dokternya membantu sekali. cepat tanggap,5,0.0,0.0,Positive,6,dokternya membantu cepat tanggap,4
sangat informatif,5,0.0,0.0,Positive,2,informatif,1
ok,4,0.5,0.5,Positive,1,ok,1
"aplikasi yang sangat bagus, dokternya ramah dan memberikan penjelasan dengan jelas ke pasien.",5,0.0,0.0,Positive,15,aplikasi bagus dokternya ramah penjelasan pasien,6
ok,5,0.5,0.5,Positive,1,ok,1
sangat membantu,5,0.0,0.0,Positive,2,membantu,1
bagus,5,0.0,0.0,Positive,1,bagus,1
sangat membantu,4,0.0,0.0,Positive,2,membantu,1
chat dokternya oke...tapi jangan pernah bayar obatnya...ga dateng obatnya 1 hari lebih...berikutnya ya ambil jalan pintas disuruh pengajuan pembatalan...,1,0.0,0.0,Negative,26,chat dokternya oketapi bayar obatnyaga dateng obatnya 1 lebihberikutnya ambil jalan pintas disuruh pengajuan pembatalan,15
sangat membantu. terima kasih ,5,0.0,0.0,Positive,5,membantu terima kasih,3
terbaik,5,0.0,0.0,Positive,1,terbaik,1
mantap,5,0.0,0.0,Positive,1,mantap,1
sangat membantu,5,0.0,0.0,Positive,2,membantu,1
makasih,5,0.0,0.0,Positive,1,makasih,1
sangat membantu,5,0.0,0.0,Positive,2,membantu,1
membantu sekali,5,0.0,0.0,Positive,2,membantu,1
sangat membantu,5,0.0,0.0,Positive,2,membantu,1
cukup jelas penjelasan nya,5,0.0,0.0,Positive,4,penjelasan,1
responnya cepat dan bagus sangat membantu,5,0.0,0.0,Positive,6,responnya cepat bagus membantu,4
obat nya abis trs di refund nya tunggu 3 hari hadeuh mana mahal obat nya gak semua punya uang lebih . pas bgt ni duit pas2 san . mana anak saya lg sakit . harus nunggu 3 hari buat beli obat lg . nunggu dia refund baru bisa beli tu obat nyari ke tempat lain bayangin kalo duit pas2 san nunggu 3 hari .,1,0.0,0.0,Negative,64,obat abis trs refund tunggu 3 hadeuh mahal obat gak uang pas bgt ni duit pas2 san anak lg sakit nunggu 3 beli obat lg nunggu refund beli tu obat nyari bayangin kalo duit pas2 san nunggu 3,38
"waktu chat dokter kirim gambar tidak berhasil tapi tidak ada notifikasi gagal, diulangi terus menerus masih gagal akhirnya chat ditutup dengan alasan tidak menjawab pertanyaan dokter? lah ",2,0.0,0.0,Negative,29,chat dokter kirim gambar berhasil notifikasi gagal diulangi menerus gagal chat ditutup alasan dokter,14
sangat baik,5,0.0,0.0,Positive,2,,0
"dokter nya respon bagus , cepat",5,0.0,0.0,Positive,6,dokter respon bagus cepat,4
sangat bagi yang lagi isoman .,5,0.0,0.0,Positive,6,isoman,1
respon cepat,5,0.0,0.0,Positive,2,respon cepat,2
jos,5,0.0,0.0,Positive,1,jos,1
sangat membantu dan user friendly,5,0.375,0.5,Positive,5,membantu user friendly,3
ok,5,0.5,0.5,Positive,1,ok,1
terima kasih.aplikasi ini sangat membantu,5,0.0,0.0,Positive,5,terima kasihaplikasi membantu,3
terimah kasih dokter erdo puncak sidarta telah membantu saya untuk membuat resep . sangat baik pelayanan dokter,5,0.0,0.0,Positive,17,terimah kasih dokter erdo puncak sidarta membantu resep pelayanan dokter,10
pertanyaan yg diajukan dijawab dengan baik dan rinci,5,0.0,0.0,Positive,8,diajukan rinci,2
baik dan sempurna,5,0.0,0.0,Positive,3,sempurna,1
"mantap jaya, sangat membantu sekali",5,0.0,0.0,Positive,6,mantap jaya membantu,3
"didwnload udh verifikasi tp kode gagal, pdhal bner, udh aq cba unisntal dan instal lg ttep aja bgtu..ah sudhlah..capek..ga jadi dnwload.",2,0.0,0.0,Negative,30,didwnload udh verifikasi tp kode gagal pdhal bner udh aq cba unisntal instal lg ttep bgtuah sudhlahcapekga dnwload,18
bad,1,-0.6999999999999998,0.6666666666666666,Negative,1,bad,1
sangat membantu saya bila dalam keadaan kurang sehat,5,0.0,0.0,Positive,8,membantu sehat,2
canggih lah,5,0.0,0.0,Positive,2,canggih,1
"untuk pelayanan dokternya sangat bagus karena penjelasan mendetail tp untuk jasa pengirimannya sangat kurang ,, kenapa hanya menyediakan sameday , next day dan reguler ? bagaimana jika keadaan mendesak apa mungkin bisa menunggu selama itu ? tolong di tingkatkan untuk jasa pengirimannya agar bisa ada yg instant ",2,0.0,0.3333333333333333,Negative,48,pelayanan dokternya bagus penjelasan mendetail tp jasa pengirimannya menyediakan sameday next day reguler mendesak menunggu tolong tingkatkan jasa pengirimannya instant,20
mantap,5,0.0,0.0,Positive,1,mantap,1
4 dlu klo puas tmbh lgi,4,0.0,0.0,Positive,6,4 dlu klo puas tmbh lgi,6
alodokter sangat membantu tks,5,0.0,0.0,Positive,4,alodokter membantu tks,3
neomu choa,5,0.0,0.0,Positive,2,neomu choa,2
sangat membantu,5,0.0,0.0,Positive,2,membantu,1
nice,5,0.6,1.0,Positive,1,nice,1
super sekali,5,0.3333333333333333,0.6666666666666666,Positive,2,super,1
slow,2,-0.30000000000000004,0.39999999999999997,Negative,1,slow,1
keren,5,0.0,0.0,Positive,1,keren,1
okok,5,0.0,0.0,Positive,1,okok,1
sangat membantu ketika kita butuh rekomendasi dokter tanpa harus bertemu secara offline,4,0.0,0.0,Positive,12,membantu butuh rekomendasi dokter bertemu offline,6
"kalau niat bantu kenapa ada biaya buat chat dan konsultasi ini sama aja memberat kan bukan membantu , kalau boleh saran tolong buat aplikasi yg bsa membantu semua golongan rakya.",1,0.0,0.0,Negative,31,niat bantu biaya chat konsultasi memberat membantu saran tolong aplikasi bsa membantu golongan rakya,14
mantap,5,0.0,0.0,Positive,1,mantap,1
ok,5,0.5,0.5,Positive,1,ok,1
chat dengan dokternya ga bisa dihapus,2,0.0,0.0,Negative,6,chat dokternya ga dihapus,4
cukup membantu,4,0.0,0.0,Positive,2,membantu,1
cepat respon good,5,0.7,0.6000000000000001,Positive,3,cepat respon good,3
terima kasih,5,0.0,0.0,Positive,2,terima kasih,2
mantap dengan respon,5,0.0,0.0,Positive,3,mantap respon,2
"respon cepat, penyelesaian keluhan sangat detail, mudah dipahami. sangat membantu apalagi disaat pandemi seperti saat ini",4,0.0,0.0,Positive,19,respon cepat penyelesaian keluhan detail mudah dipahami membantu disaat pandemi,10
tidak menemukan keluhan pelayanan alodokter sama sekali,5,0.0,0.0,Positive,7,menemukan keluhan pelayanan alodokter,4
bagus,5,0.0,0.0,Positive,1,bagus,1
informatif & fast respon,5,0.2,0.6,Positive,4,informatif fast respon,3
"dokter nya baik, ramah dan spoan dlm menjawab pertanyaan..sabar bgt, trima ksh ya dokter...salam sehat",5,0.0,0.0,Positive,21,dokter ramah spoan dlm pertanyaansabar bgt trima ksh doktersalam sehat,10
sangat membantu,5,0.0,0.0,Positive,2,membantu,1
"dokter nya sangat ramah, responsif..tidak kecewa dengan pelayanan dokter di alodokter..terima kasih banyak, semoga dokter selalu diberi kesehatan, umur panjang, dan rizki yang berkah, aamiin yra..",5,0.0,0.0,Positive,36,dokter ramah responsiftidak kecewa pelayanan dokter alodokterterima kasih semoga dokter kesehatan umur rizki berkah aamiin yra,16
good,5,0.7,0.6000000000000001,Positive,1,good,1
ok sangat membatu,4,0.5,0.5,Positive,3,ok membatu,2
terima kasih sangat membantu....dan kita bisa konsultasi langsung dengan dokter.,5,0.0,0.0,Positive,13,terima kasih membantudan konsultasi langsung dokter,6
sangat membantu,5,0.0,0.0,Positive,2,membantu,1
ud oke ,5,0.0,0.0,Positive,2,ud oke,2
thx u,5,0.0,0.0,Positive,2,thx u,2
menyenangkan dengan respon yg sngt cepat,5,0.0,0.0,Positive,6,menyenangkan respon sngt cepat,4
"informasinya sangat jelas dan detail, sangat membantu, trima ksh dokter",5,0.0,0.0,Positive,12,informasinya detail membantu trima ksh dokter,6
"membantu, banyak generic advice. tapi sejauh ini baik",5,0.0,0.0,Positive,10,membantu generic advice,3
sangat membantu mengurangi kepanikan.,5,0.0,0.0,Positive,5,membantu mengurangi kepanikan,3
good job,4,0.7,0.6000000000000001,Positive,2,good job,2
dokter nya ramah,5,0.0,0.0,Positive,3,dokter ramah,2
kenapa harus bayar padahal sangat membantu bagi masyarakat yg kurang mampu,5,0.0,0.0,Positive,11,bayar membantu masyarakat,3
ok,5,0.5,0.5,Positive,1,ok,1
bagus sekali sarannya. terimakasih,5,0.0,0.0,Positive,5,bagus sarannya terimakasih,3
gila lama banget loading nya smpe ngntuk saya nungguin nya tolong dong di prbaiki,1,0.0,0.0,Negative,14,gila banget loading smpe ngntuk nungguin tolong prbaiki,8
"tksh bnyak, sdh membantu sekali, puas sekali dgn pelayanan nya",5,0.0,0.0,Positive,12,tksh bnyak sdh membantu puas dgn pelayanan,7
mantab..terima kasih,4,0.0,0.0,Positive,4,mantabterima kasih,2
nice,5,0.6,1.0,Positive,1,nice,1
sangat membantu,5,0.0,0.0,Positive,2,membantu,1
"terintegrasi dengan data kemenkes, respon dan penjelasannya menjawab semua pertanyaan dari pasien dengan baik",5,0.0,0.0,Positive,15,terintegrasi data kemenkes respon penjelasannya pasien,6
sangat membntu,5,0.0,0.0,Positive,2,membntu,1
kenapa ya survey form nya tidak bisa diisi coba beberapa saat lagi teruss padahal saya sudah bayar mau konsul ke dokter umum,2,0.0,0.0,Negative,22,survey form diisi coba teruss bayar konsul dokter,8
sangat membantu disaat ada keluhan2 tentang penyakit,5,0.0,0.0,Positive,7,membantu disaat keluhan2 penyakit,4
ok,3,0.5,0.5,Neutral,1,ok,1
sudah melakukan pembayaran ga bisa dipakai. payah,1,0.0,0.0,Negative,8,pembayaran ga dipakai payah,4
"aplikasi ga bisa di buka loading terus,koneksi internet saya lancar tapi ga bisa masuk aplikasi, akan berubah bintang jika sudah di perbaiki. terimakasih",2,0.0,0.0,Negative,27,aplikasi ga buka loading teruskoneksi internet lancar ga masuk aplikasi berubah bintang perbaiki terimakasih,14
"dokternya ramah2,penjelasan yang mudah dimengerti.terimakasih alodokter",5,0.0,0.0,Positive,8,dokternya ramah2penjelasan mudah dimengertiterimakasih alodokter,5
"dokternya baik sekali ,mau menjawab semua pertanyaan kita",5,0.0,0.0,Positive,9,dokternya,1
"sudah melakukan pembayaran dan hasilnya mohon maaf gangguan sistem erorr. masih penasaran coba lagi. n ketika di chat cuma balas,sudah berpa lama n sudah saya jawab. dan .... sudah gk ada respon lagi wkekekekkkekk",1,0.0,0.0,Negative,39,pembayaran hasilnya mohon maaf gangguan sistem erorr penasaran coba n chat balassudah berpa n gk respon wkekekekkkekk,17
"udah bayar pakai gopay, saldo udah ngurang tapi status masih menunggu pembayaran",2,0.0,0.0,Negative,13,udah bayar pakai gopay saldo udah ngurang status menunggu pembayaran,10
dokternya cepat responya,5,0.0,0.0,Positive,3,dokternya cepat responya,3
penjelasan detail dan mantap,5,0.0,0.0,Positive,4,penjelasan detail mantap,3
"gabisa chat dokter umum , padahal saya udh byr 8500 .. , saya iklasin 8500 buat aplikasi yg gajelas ini",1,0.0,0.0,Negative,20,gabisa chat dokter udh byr 8500 iklasin 8500 aplikasi gajelas,10
alodokter sangat membantu saya,5,0.0,0.0,Positive,4,alodokter membantu,2
makasih,5,0.0,0.0,Positive,1,makasih,1
apa benar sekali konsutasi 45000,3,0.0,0.0,Neutral,5,konsutasi 45000,2
respon cepat,5,0.0,0.0,Positive,2,respon cepat,2
responnya cepat,5,0.0,0.0,Positive,2,responnya cepat,2
pelayanan chat dokter cepat,5,0.0,0.0,Positive,4,pelayanan chat dokter cepat,4
dokternya cepet respon dan teliti,5,0.0,0.0,Positive,5,dokternya cepet respon teliti,4
chat dokter umum skrg berbayar..,2,0.0,0.0,Negative,6,chat dokter skrg berbayar,4
"beli obat lewat aplikasi k24 sudah oke, sampai di apotik yang dituju ditolak, walaupun sudah menunujukan aplikasi.",1,0.0,0.0,Negative,20,beli obat aplikasi k24 oke apotik dituju ditolak menunujukan aplikasi,10
penjelasan sangat detail membantu saat isoman yg gak bisa kemana-mana,5,0.0,0.0,Positive,10,penjelasan detail membantu isoman gak kemanamana,6
sangat membantu,5,0.0,0.0,Positive,2,membantu,1
tanggapan dokter cepat,5,0.0,0.0,Positive,3,tanggapan dokter cepat,3
fast respon dan sangat membantu,5,0.2,0.6,Positive,5,fast respon membantu,3
pelayanannya ramah untuk dokter anaknya..,5,0.0,0.0,Positive,6,pelayanannya ramah dokter anaknya,4
ini mau daftar gabisa2 mulu gimana mau chat dokter dan minta obat? uninstall deh,5,0.0,0.0,Positive,15,daftar gabisa2 mulu gimana chat dokter obat uninstall deh,9
"tambahkan fitur audio/video call saat konsultasi dokter, terutama untuk konsultasi psikolog dan psikiater, masa dokter pakai alasan ""sebaiknya konsultasi langsung datang ke psikiater"" , biar liat langsung, lah apa gunanya pakai jasa konsultasi alodokter kalau suruh langsung ke rs dengan alasan perlu tatap muka",3,0.0,0.0,Neutral,49,tambahkan fitur audiovideo call konsultasi dokter konsultasi psikolog psikiater dokter pakai alasan konsultasi langsung psikiater biar liat langsung gunanya pakai jasa konsultasi alodokter suruh langsung rs alasan tatap muka,29
ribet dibanding aplikasi lainnya... nanya tgl lahir dri awal smp 3x inputnya,3,0.0,0.0,Neutral,13,ribet dibanding aplikasi nanya tgl lahir dri smp 3x inputnya,10
bagus dan respon cepat..trimakasih aladokter.,5,0.0,0.0,Positive,8,bagus respon cepattrimakasih aladokter,4
cukup bagus.. tapi kadang dokter bnyk sibuknya,4,0.0,0.0,Positive,8,bagus kadang dokter bnyk sibuknya,5
saya orang lndonesia tempat tinggal sumenep madura,5,0.0,0.0,Positive,7,orang lndonesia tinggal sumenep madura,5
sangat membantu,5,0.0,0.0,Positive,2,membantu,1
dokternya baik dan ramah,5,0.0,0.0,Positive,4,dokternya ramah,2
bagus,5,0.0,0.0,Positive,1,bagus,1
sangat membantu,5,0.0,0.0,Positive,2,membantu,1
"sangat membantu, cepat dan jelas informasinya",4,0.0,0.0,Positive,7,membantu cepat informasinya,3
bagus bgt dokternya ramah semua,5,0.0,0.0,Positive,5,bagus bgt dokternya ramah,4
sangat membantu ,5,0.0,0.0,Positive,2,membantu,1
baik,5,0.0,0.0,Positive,1,,0
