content,score,sentiment_polarity,sentiment_subjective,sentiment_rating,wordCount,review_without_stopwords,wordCount_after_stopwords,review_stem_without_stopwords
"aplikasi elit, bayar mahal hanya untuk iya/tidak, informasiny juga tidak terlalu jelas",1,0.0,0.0,Negative,14,aplikasi elit bayar mahal iyatidak informasiny,6,aplikasi elit bayar mahal iyatidak informasiny
"sangat membantu aplikasi ini, harga juga terjangkau",5,0.0,0.0,Positive,8,membantu aplikasi harga terjangkau,4,bantu aplikasi harga jangkau
terimakasih dok,5,0.0,0.0,Positive,2,terimakasih dok,2,terimakasih dok
dokter nya ramah..,5,0.0,0.0,Positive,4,dokter ramah,2,dokter ramah
ok,5,0.5,0.5,Positive,1,ok,1,ok
cukup membantu,5,0.0,0.0,Positive,2,membantu,1,bantu
bagus,5,0.0,0.0,Positive,1,bagus,1,bagus
"dokter interaktif & mengerti kondisi pasien, tapi soal aplikasi lambat & durasi waktu relatif sangat singkat!",4,0.0,0.0,Positive,18,dokter interaktif mengerti kondisi pasien aplikasi lambat durasi relatif singkat,10,dokter interaktif erti kondisi pasien aplikasi lambat durasi relatif singkat
baik,5,0.0,0.0,Positive,1,,0,
"assalamualaikum wr wb ,saya ingin menanyakan penyakit yg di derita anak saya ,b gini dr,saya punya anak epilepsi yg penderitaannya sudah berjalan 25thn usia anak skrg 27 th.awal kejang usia 9 blm .trs umur 1.5 thn kejang lagi hingga skrg sudah dewasa masih kejang .tapi skrg kejang nya mata nya ke atas dan badandan leher ke kanan apa yg harus saya lakukan dr.obat ga pernah putus .obat dubur jg sll di siapkan tp klw wktyg kambuh ya terjadi tolong dokter solusinya hrs saya apakan obat tepat wkt sy",5,0.0,0.0,Positive,92,assalamualaikum wr wb penyakit derita anak b gini drsaya anak epilepsi penderitaannya berjalan 25thn usia anak skrg 27 thawal kejang usia 9 blm trs umur 15 thn kejang skrg dewasa kejang skrg kejang mata badandan leher kanan lakukan drobat ga putus obat dubur jg sll siapkan tp klw wktyg kambuh tolong dokter solusinya hrs apakan obat wkt,57,assalamualaikum wr wb sakit derita anak b gin drsaya anak epilepsi derita jalan 25thn usia anak skrg 27 thawal kejang usia 9 blm trs umur 15 thn kejang skrg dewasa kejang skrg kejang mata badandan leher kanan laku drobat ga putus obat dubur jg sll siap tp klw wktyg kambuh tolong dokter solusi hrs apa obat wkt
baik sekali dokternya dan aplikasi ini sangat membantu untuk konsultasi dan membeli obat,5,0.0,0.0,Positive,13,dokternya aplikasi membantu konsultasi membeli obat,6,dokter aplikasi bantu konsultasi beli obat
sangat membantu,5,0.0,0.0,Positive,2,membantu,1,bantu
aplikasi keluar sendiri terus,1,0.0,0.0,Negative,4,aplikasi,1,aplikasi
sangat informatif,5,0.0,0.0,Positive,2,informatif,1,informatif
"sangat bagus , apabila ada pertanyaan atau keluhan pasti di layani dengan baik , terimakasih ya alodokter",5,0.0,0.0,Positive,17,bagus keluhan layani terimakasih alodokter,5,bagus keluh layan terimakasih alodokter
ok rinci bgt penjelasannya,5,0.5,0.5,Positive,4,ok rinci bgt penjelasannya,4,ok rinci bgt jelas
kenapa tidam bisa menghapus pesan yaah?,1,0.0,0.0,Negative,7,tidam menghapus pesan yaah,4,tidam hapus pesan yaah
good,5,0.7,0.6000000000000001,Positive,1,good,1,good
ada biaya nya ..aku kira nggk bayar ,1,0.0,0.0,Negative,8,biaya nggk bayar,3,biaya nggk bayar
dokternya ramah dan tepat sasaran,5,0.0,0.0,Positive,5,dokternya ramah sasaran,3,dokter ramah sasar
chat nya k dokter hanya bisa jawab ya atau tidak.. tidak bisa melakukan penjelasan lagi.. dan begitu kalau salah ketik ya atau tidak ngak bisa diperbaiki lagi.. gmn,2,0.0,0.0,Negative,31,chat k dokter penjelasan salah ketik ngak diperbaiki gmn,9,chat k dokter jelas salah ketik ngak baik gmn
males banget sama aplikasinya uda payment tp error tbtb sudah dgunakan padal chat aja blm sama sekali,1,0.0,0.0,Negative,17,males banget aplikasinya uda payment tp error tbtb dgunakan padal chat blm,12,males banget aplikasi uda payment tp error tbtb dgunakan padal chat blm
suka!,4,0.0,0.0,Positive,2,suka,1,suka
"ketika tambah data anggota keluarga (anak) waktu di pedulilindungi sudah vaksin, kenapa di sini ga bisa dimasukkan ""nik invalid"" buat lihat serifikat vaksinnya? padahal sudah saya masukkan sesuai sertifikat vaksin anak dulu?",1,0.0,0.0,Negative,39,data anggota keluarga anak pedulilindungi vaksin ga dimasukkan nik invalid lihat serifikat vaksinnya masukkan sesuai sertifikat vaksin anak,18,data anggota keluarga anak pedulilindungi vaksin ga masuk nik invalid lihat serifikat vaksin masuk sesuai sertifikat vaksin anak
"respon dokter sangat lama, padahal sudah dibayar... disuruh nunggu 1 menit tapi malah beberapa menit kemudian ga ada respon",1,0.0,0.0,Negative,21,respon dokter dibayar disuruh nunggu 1 menit menit ga respon,10,respon dokter bayar suruh nunggu 1 menit menit ga respon
sangat membantu dan mudah. tapi harganya kalau bisa jangan terlalu mahal ya  soalnya kalau konsultasi online melalui chatt kadang kan terbatas ,5,0.0,0.0,Positive,22,membantu mudah harganya mahal konsultasi online chatt kadang terbatas,9,bantu mudah harga mahal konsultasi online chatt kadang batas
sangat membantu,5,0.0,0.0,Positive,2,membantu,1,bantu
ok,5,0.5,0.5,Positive,1,ok,1,ok
"pelayanan cepat, komunikasi dgn dokter mudah",5,0.0,0.0,Positive,7,pelayanan cepat komunikasi dgn dokter mudah,6,layan cepat komunikasi dgn dokter mudah
"sangat membantu sekali, terimakasih ",5,0.0,0.0,Positive,5,membantu terimakasih,2,bantu terimakasih
cukup membantu,5,0.0,0.0,Positive,2,membantu,1,bantu
mantap,5,0.0,0.0,Positive,1,mantap,1,mantap
"kirain yg udah janji lewat alodokter bakal ikutin janji yg di alodokter,bakal cepet gitu. ternyata sama aja nggu antri yg di rs nya",2,0.0,0.0,Negative,26,kirain udah janji alodokter ikutin janji alodokterbakal cepet gitu nggu antri rs,12,kirain udah janji alodokter ikutin janji alodokterbakal cepet gitu nggu antri rs
sangat membantu,5,0.0,0.0,Positive,2,membantu,1,bantu
keren banget aplikasiny ,5,0.0,0.0,Positive,3,keren banget aplikasiny,3,keren banget aplikasiny
"kok aneh ya,,sudah ada kode tapi ga ada tanda kirim?? udah ada ceklis tpi ga loding2 sampe waktunya habis",1,0.0,0.0,Negative,23,aneh yasudah kode ga tanda kirim udah ceklis tpi ga loding2 sampe habis,13,aneh yasudah kode ga tanda kirim udah ceklis tpi ga loding2 sampe habis
makan tuh uang haram sumo tekno.,1,0.0,0.0,Negative,7,makan tuh uang haram sumo tekno,6,makan tuh uang haram sumo tekno
saya baru jatuh dan kepala saya benjol sebelah kanan tapi leher belakang dan punggung terasa tegang apakah obat yg harus saya minum?,4,0.0,0.0,Positive,23,jatuh kepala benjol sebelah kanan leher punggung tegang obat minum,10,jatuh kepala benjol belah kanan leher punggung tegang obat minum
tidak apa berbayar yang penting kita tau informasi yang kita inginkan.,5,0.0,0.0,Positive,12,berbayar tau informasi,3,bayar tau informasi
sangat membantu,5,0.0,0.0,Positive,2,membantu,1,bantu
sangat membantu dan dokternya ramah2.,5,0.0,0.0,Positive,6,membantu dokternya ramah2,3,bantu dokter ramah2
josss dokter nya,5,0.0,0.0,Positive,3,josss dokter,2,josss dokter
keren aplikasi.. baru menggunakan sdh dapat gratis konsultasi,5,0.0,0.0,Positive,9,keren aplikasi sdh gratis konsultasi,5,keren aplikasi sdh gratis konsultasi
saya udh chat tulis keluhan saya kok tidak ada respon?,1,0.0,0.0,Negative,11,udh chat tulis keluhan respon,5,udh chat tulis keluh respon
mantap,5,0.0,0.0,Positive,1,mantap,1,mantap
sudah bayar tp gak bisa chat.huhh payah,1,0.0,0.0,Negative,7,bayar tp gak chathuhh payah,5,bayar tp gak chathuhh payah
sangat bermanfaat,5,0.0,0.0,Positive,2,bermanfaat,1,manfaat
habis instal aplikasi ini tiap hari dapat spam call dari nomor2 ga jelas,1,0.0,0.0,Negative,13,habis instal aplikasi spam call nomor2 ga,7,habis instal aplikasi spam call nomor2 ga
"mata sy sdh d oprasi lalu buram, kata dokter ada kayak lumpur d belakang mata saya, pertanyaan sy bagai mana cara menghilangkan kotoran ituterimah kasih",1,0.0,0.0,Negative,27,mata sdh d oprasi buram dokter kayak lumpur d mata menghilangkan kotoran ituterimah kasih,14,mata sdh d oprasi buram dokter kayak lumpur d mata hilang kotor ituterimah kasih
pertanyaan tidak dijawab oleh dokternya,1,0.0,0.0,Negative,5,dokternya,1,dokter
mohon untuk metode pembayarannya di tambahkan fitur cod agar memudahkan kami apabila fitur pembayaran lain mengalami masalah atau tidak terjangkau..terimakasih,5,0.0,0.0,Positive,22,mohon metode pembayarannya tambahkan fitur cod memudahkan fitur pembayaran mengalami terjangkauterimakasih,11,mohon metode bayar tambah fitur cod mudah fitur bayar alami terjangkauterimakasih
"untuk developer alodokter group. alodokter - chat bersama dokter sangat bermanfaat, terus tingkatkan fitur dan kualitas di dalam aplikasi.",5,0.0,0.0,Positive,22,developer alodokter group alodokter chat dokter bermanfaat tingkatkan fitur kualitas aplikasi,11,developer alodokter group alodokter chat dokter manfaat tingkat fitur kualitas aplikasi
semogga bisa membantu,3,0.0,0.0,Neutral,3,semogga membantu,2,semogga bantu
puas,5,0.0,0.0,Positive,1,puas,1,puas
sebenarnya kita butuh apk ini disaat terdesak sj bp ibu dokter tpi harus pke bayar lgi kita yg punya bpjs ke rs sj bisa hanya tunggu waktu yg tepat nggk pake biaya kok eh ini hanya apl so soan pake bayar lgi bukan bisa sembuh jg hhh,1,0.0,0.0,Negative,47,butuh apk disaat terdesak sj bp dokter tpi pke bayar lgi bpjs rs sj tunggu nggk pake biaya eh apl so soan pake bayar lgi sembuh jg hhh,28,butuh apk saat desak sj bp dokter tpi pke bayar lgi bpjs rs sj tunggu nggk pake biaya eh apl so soan pake bayar lgi sembuh jg hhh
"mudah untuk dipahami, dan mudah digunakan utk pemula",5,0.0,0.0,Positive,9,mudah dipahami mudah utk pemula,5,mudah paham mudah utk mula
harusnya ada layanan video call nya,4,0.0,0.0,Positive,6,layanan video call,3,layan video call
walau saya belum menemukan jawaban dari pertanyaan saya namun say suka apl ini karena banyak dokter² yg baik semoga saya segera menemukan yg saya inginkan thanks alodokter,5,0.2,0.2,Positive,27,menemukan say suka apl dokter² semoga menemukan thanks alodokter,9,temu say suka apl dokter moga temu thanks alodokter
terimakasihh,5,0.0,0.0,Positive,1,terimakasihh,1,terimakasihh
"konsultasi diksih resep, udah ngerasain sakit tp obat blom juga sampe dah 2hri, keburu koit pasien, mau cancel obat gak bisaa.. sampai endingnya ke rs untuk berobat.. lelet tidak cekatan.. paraahhh!!!",1,0.0,0.0,Negative,40,konsultasi diksih resep udah ngerasain sakit tp obat blom sampe dah 2hri keburu koit pasien cancel obat gak bisaa endingnya rs berobat lelet cekatan paraahhh,25,konsultasi diksih resep udah ngerasain sakit tp obat blom sampe dah 2hri keburu koit pasien cancel obat gak bisaa endingnya rs obat lelet cekat paraahhh
membantu sekali,5,0.0,0.0,Positive,2,membantu,1,bantu
mantap,5,0.0,0.0,Positive,1,mantap,1,mantap
"saran saya jika anda pengguna baru, yg srng mngalami susah masuk verifikasi nmer hp, matikan wifi anda, gunakan data paketan anda. past bisa.",5,-0.25,0.25,Positive,28,saran pengguna srng mngalami susah masuk verifikasi nmer hp matikan wifi data paketan past,14,saran guna srng mngalami susah masuk verifikasi nmer hp mati wifi data paket past
"saya sarankan jangan pernah konsultasi melalui aplikasi ini sebelum uang anda terkuras untuk konsultasi ke dokter yang tidak jelas. dari chat yang lama respon, kita disuruh nunggu jawaban dari dokter yang 1 jam statusnya hanya menunggu jawaban dokter, dan dari sebelah pihak membatalkan chat secara otomatis . padahal bukan kita yang salah, kita disuru nunggu, mau chat dokter nya tapi tidak ada kolom chat, terus kita bisa apa? bisa nunggu doang.. mengambil uang orang dengan sengaja.",1,0.0,0.0,Negative,85,sarankan konsultasi aplikasi uang terkuras konsultasi dokter chat respon disuruh nunggu dokter 1 jam statusnya menunggu dokter sebelah membatalkan chat otomatis salah disuru nunggu chat dokter kolom chat nunggu doang mengambil uang orang sengaja,34,saran konsultasi aplikasi uang kuras konsultasi dokter chat respon suruh nunggu dokter 1 jam status tunggu dokter belah batal chat otomatis salah disuru nunggu chat dokter kolom chat nunggu doang ambil uang orang sengaja
"respon cepat dan baik, terimakasih",5,0.0,0.0,Positive,6,respon cepat terimakasih,3,respon cepat terimakasih
solusi terbaik dari dokter yahg tepat,5,0.0,0.0,Positive,6,solusi terbaik dokter yahg,4,solusi baik dokter yahg
membantu sekali,5,0.0,0.0,Positive,2,membantu,1,bantu
"pernah beli chat preminium tapi dokternya gak pernah online. ada fitur chat ke dokter lain. aku klik terus malah, ada tulisan ""maaf, dokter untuk spesialis ini belum tersedia"" lah piye toh? agak kecewa si.",1,0.0,0.0,Negative,42,beli chat preminium dokternya gak online fitur chat dokter klik tulisan maaf dokter spesialis tersedia piye kecewa si,18,beli chat preminium dokter gak online fitur chat dokter klik tulis maaf dokter spesialis sedia piye kecewa si
ngk jelas asli berbayar pun juga sama responya lama,1,0.0,0.0,Negative,9,ngk asli berbayar responya,4,ngk asli bayar responya
sekarang berbayar yah,1,0.0,0.0,Negative,3,berbayar yah,2,bayar yah
masya allah alhamdulillah sangat membantu,5,0.0,0.0,Positive,5,masya allah alhamdulillah membantu,4,masya allah alhamdulillah bantu
mantull,5,0.0,0.0,Positive,1,mantull,1,mantull
"sangat membantu, terimakasih masukannya",5,0.0,0.0,Positive,5,membantu terimakasih masukannya,3,bantu terimakasih masuk
"kenapa alodokter sekarang susah bgt di buka, loding nya seolah'2 wifi ku buruk. padahal buka app sebelah lancar bgt.",3,0.0,0.0,Neutral,24,alodokter susah bgt buka loding seolah2 wifi ku buruk buka app sebelah lancar bgt,14,alodokter susah bgt buka loding seolah2 wifi ku buruk buka app belah lancar bgt
sangat membantu sekali ,5,0.0,0.0,Positive,3,membantu,1,bantu
jadwal dokter tidak up to date,2,0.0,0.0,Negative,6,jadwal dokter up to date,5,jadwal dokter up to date
fast respon dan detail... sehat dan sukses selalu,5,0.2,0.6,Positive,9,fast respon detail sehat sukses,5,fast respon detail sehat sukses
saya sangat terbantu dengan aplikasi ini,5,0.0,0.0,Positive,6,terbantu aplikasi,2,bantu aplikasi
nice,5,0.6,1.0,Positive,1,nice,1,nice
main potong saldo orang sembarangan an,1,0.16666666666666666,0.3333333333333333,Negative,6,main potong saldo orang sembarangan an,6,main potong saldo orang sembarang an
so far so good,5,0.39999999999999997,0.8,Positive,4,so far so good,4,so far so good
saya sangat kecewa saya udh byr 45rb tp belum ada jawaban apa2 setelah setengah jam diblng percakapan ditutup jadi apa maksudnya udh byr tp ndax ada jawaban konsultasi macam apa cuma menipu aja kembalikan uang saya,1,0.0,0.0,Negative,36,kecewa udh byr 45rb tp apa2 jam diblng percakapan ditutup maksudnya udh byr tp ndax konsultasi menipu kembalikan uang,19,kecewa udh byr 45rb tp apa2 jam diblng cakap tutup maksud udh byr tp ndax konsultasi tipu kembali uang
setelah pembayaran gak bisa masuk di apkny...,1,0.0,0.0,Negative,8,pembayaran gak masuk apkny,4,bayar gak masuk apkny
mantab,5,0.0,0.0,Positive,1,mantab,1,mantab
cukup baik dari sebelumnya,5,0.0,0.0,Positive,4,,0,
"sangat membantu, dan respon dokternya cepat",5,0.0,0.0,Positive,7,membantu respon dokternya cepat,4,bantu respon dokter cepat
dokter nya ga beres... ga di bales2.. denger2 di tutup prcakapanya. buang2 duit ajaa,1,0.0,0.0,Negative,17,dokter ga beres ga bales2 denger2 tutup prcakapanya buang2 duit ajaa,11,dokter ga beres ga bales2 denger2 tutup prcakapanya buang2 duit ajaa
"sangat membantu, dokternya juga ramah. sukses terus alodokter.",5,0.0,0.0,Positive,11,membantu dokternya ramah sukses alodokter,5,bantu dokter ramah sukses alodokter
sangat membantu,5,0.0,0.0,Positive,2,membantu,1,bantu
"tolong dong di berehentikan auto debit nya sya tidak pernah pakai service di alodokter juga, tidak pernah pakai jd kepotong atm saya aneh aneh",1,0.0,0.0,Negative,25,tolong berehentikan auto debit sya pakai service alodokter pakai jd kepotong atm aneh aneh,14,tolong berehentikan auto debit sya pakai service alodokter pakai jd potong atm aneh aneh
sanngat membantu sekali..,5,0.0,0.0,Positive,4,sanngat membantu,2,sanngat bantu
bintang yg berbicara wkwk,5,0.0,0.0,Positive,4,bintang berbicara wkwk,3,bintang bicara wkwk
manfaat,4,0.0,0.0,Positive,1,manfaat,1,manfaat
"saya menderita penyakit gatal tak kunjung sembuh tapi tes darah negatif itu karena apa dok,",1,0.0,0.0,Negative,16,menderita penyakit gatal kunjung sembuh tes darah negatif dok,9,derita sakit gatal kunjung sembuh tes darah negatif dok
ok bisa konsultasi secara online,5,0.5,0.5,Positive,5,ok konsultasi online,3,ok konsultasi online
"sangat burukkk!!!!! saldo saya selalu kepotong dari tahun 2021, padahal saya tidak pernah melakukan transaksi langganan. udah brp ratus ribu saya rugi?",1,0.0,0.0,Negative,30,burukkk saldo kepotong 2021 transaksi langganan udah brp ratus ribu rugi,11,burukkk saldo potong 2021 transaksi langgan udah brp ratus ribu rugi
mau gimana saya chat juga blom di respon nnti kalo sudah mendapatkan apa yg saya inginkan baru saya tambah lagi bintang nya,3,0.0,0.0,Neutral,22,gimana chat blom respon nnti kalo bintang,7,gimana chat blom respon nnti kalo bintang
keterangannya cukup memuaskan.,5,0.0,0.0,Positive,4,keterangannya memuaskan,2,terang muas
gak ada chat gratis,3,0.0,0.0,Neutral,4,gak chat gratis,3,gak chat gratis
sangat mambantu,5,0.0,0.0,Positive,2,mambantu,1,mambantu
saya gk butuh aplikasi ini.ganggu,1,0.0,0.0,Negative,5,gk butuh aplikasi iniganggu,4,gk butuh aplikasi iniganggu
terbaik,5,0.0,0.0,Positive,1,terbaik,1,baik
saya pernah ditelvon bahwasanya mendapat asuransi kesehatan dari layanan apk alodokter apakah itu benar atau orang tipu²?,5,0.0,0.0,Positive,18,ditelvon asuransi kesehatan layanan apk alodokter orang tipu²,8,ditelvon asuransi sehat layan apk alodokter orang tipu
dokter ramah dan sangat membantu,5,0.0,0.0,Positive,5,dokter ramah membantu,3,dokter ramah bantu
"aplikasi macam apa ini udah bayar gak berfungsi sama sekali saya sangat menyesal mendownload aplikasi ini, bisa dibilang aplikasi tidak berguna",1,0.0,0.0,Negative,22,aplikasi udah bayar gak berfungsi menyesal mendownload aplikasi dibilang aplikasi berguna,11,aplikasi udah bayar gak fungsi sesal mendownload aplikasi bilang aplikasi guna
"kenapa pada saat verifikasi nomor tidak ada tanda untuk mengirim dan juga tidak bisa mengirim? padahal saya sudah mendapatkan dan mengisi kode verifikasi yang diberikan lewat sms, karena itu saya jadi tidak bisa login ke aplikasi. mohon bantuannya segera.",1,0.0,0.0,Negative,43,verifikasi nomor tanda mengirim mengirim mengisi kode verifikasi sms login aplikasi mohon bantuannya,13,verifikasi nomor tanda kirim kirim isi kode verifikasi sms login aplikasi mohon bantu
alkhamdulilah sangat membantu sebelum dateng ke rumah sakit,5,0.0,0.0,Positive,8,alkhamdulilah membantu dateng rumah sakit,5,alkhamdulilah bantu dateng rumah sakit
bagus,5,0.0,0.0,Positive,1,bagus,1,bagus
"sudah berlangganan sejak lama, aman, terpercaya, dan mudah, murah juga, terima kasih",5,0.0,0.0,Positive,17,berlangganan aman terpercaya mudah murah terima kasih,7,langgan aman percaya mudah murah terima kasih
sangat membantu,5,0.0,0.0,Positive,2,membantu,1,bantu
baik dan fast respon,4,0.2,0.6,Positive,4,fast respon,2,fast respon
mantap,5,0.0,0.0,Positive,1,mantap,1,mantap
baru mencoba kosumsi ubi jalar,5,0.0,0.0,Positive,5,mencoba kosumsi ubi jalar,4,coba kosumsi ubi jalar
"dulu ada chat gratis sekrng ngk ada lg, sdh lama sih ngk instal lg, eehh pas instal semua serba bayar, auto uninstal",1,0.0,0.0,Negative,25,chat gratis sekrng ngk lg sdh sih ngk instal lg eehh pas instal serba bayar auto uninstal,17,chat gratis sekrng ngk lg sdh sih ngk instal lg eehh pas instal serba bayar auto uninstal
"aplikasi gk jelas, konsul baru mulai dan belum selesai tiba tiba waktu transaksi sudah habis",1,0.0,0.0,Negative,16,aplikasi gk konsul selesai transaksi habis,6,aplikasi gk konsul selesai transaksi habis
"cepat, tepat dan efektif swrta aangat memuaskan, ramah dan sopan",5,0.0,0.0,Positive,12,cepat efektif swrta aangat memuaskan ramah sopan,7,cepat efektif swrta aangat muas ramah sopan
aplikasi yg sangat membantu,5,0.0,0.0,Positive,4,aplikasi membantu,2,aplikasi bantu
mantap,5,0.0,0.0,Positive,1,mantap,1,mantap
bagus,5,0.0,0.0,Positive,1,bagus,1,bagus
sangat membantu dalam hal ini,5,0.0,0.0,Positive,5,membantu,1,bantu
okee,5,0.0,0.0,Positive,1,okee,1,okee
fast respon dokternya dan amat sangat membantu,5,0.2,0.6,Positive,7,fast respon dokternya membantu,4,fast respon dokter bantu
sangat membantu utk mengutarakan keluhan yg terkadang bingung mau ke dokter apa dengan keluhan yg dialami pasien.,5,0.0,0.0,Positive,18,membantu utk mengutarakan keluhan terkadang bingung dokter keluhan dialami pasien,10,bantu utk utara keluh terkadang bingung dokter keluh alami pasien
bagus,5,0.0,0.0,Positive,1,bagus,1,bagus
halo ini gimana yah ini mengenai verivikasi otp tidak bisa ngirimnya karena tombol buat kirim itu tidak ada  halo setelah says baca ulasan komentar aplikasi ini ko banyak sekali dokter yang nipu orang .apakah aplikasi ini penipuan atau bukan??,3,0.0,0.0,Neutral,41,halo gimana yah verivikasi otp ngirimnya tombol kirim halo says baca ulasan komentar aplikasi ko dokter nipu orang aplikasi penipuan,20,halo gimana yah verivikasi otp ngirimnya tombol kirim halo says baca ulas komentar aplikasi ko dokter nipu orang aplikasi tipu
penjelasan nya membantu,5,0.0,0.0,Positive,3,penjelasan membantu,2,jelas bantu
ini apk bangke gk pernah w pake auto debit brengsek bener sales nya waktu itu,1,0.0,0.0,Negative,15,apk bangke gk w pake auto debit brengsek bener sales,10,apk bangke gk w pake auto debit brengsek bener sales
"dokter nya ramah, dengan harga yg murah bisa konsultasi lewat chat dengan gampang ",5,0.0,0.0,Positive,14,dokter ramah harga murah konsultasi chat gampang,7,dokter ramah harga murah konsultasi chat gampang
aplikasi nya knp lelet loading nya pdhl internet bagus,2,0.0,0.0,Negative,9,aplikasi knp lelet loading pdhl internet bagus,7,aplikasi knp lelet loading pdhl internet bagus
sangat membantu,5,0.0,0.0,Positive,2,membantu,1,bantu
ramah dan sangat membantu,5,0.0,0.0,Positive,4,ramah membantu,2,ramah bantu
"tidak ada gunanya konsultasi lewat online,cuma buang duit 45 sia2 aj..jawabnnya hanya itu2 aj.cba priksa ulang,coba konsultasi ulang kedokter sblmnya,coba test darah ulang..percuma kita jelasin cerita permasalahan kita dlm pengobatn sblmnya,niat kita mau tau lebih jelas krn sblm nya kurang dpt penjelasan yg jelas.. bagi dokter online tolong la jawab apa yg dijelasin pasien,bukan ny main lempar2 bola,klo cma jawabn suruh pasien priksa lagi kedokter sblmnya atau tes ulang..tu jga pasien tau.",1,0.16666666666666666,0.3333333333333333,Negative,92,gunanya konsultasi onlinecuma buang duit 45 sia2 ajjawabnnya itu2 ajcba priksa ulangcoba konsultasi ulang kedokter sblmnyacoba test darah ulangpercuma jelasin cerita permasalahan dlm pengobatn sblmnyaniat tau krn sblm dpt penjelasan dokter online tolong la dijelasin pasienbukan ny main lempar2 bolaklo cma jawabn suruh pasien priksa kedokter sblmnya tes ulangtu jga pasien tau,52,guna konsultasi onlinecuma buang duit 45 sia2 ajjawabnnya itu2 ajcba priksa ulangcoba konsultasi ulang dokter sblmnyacoba test darah ulangpercuma jelasin cerita masalah dlm pengobatn sblmnyaniat tau krn sblm dpt jelas dokter online tolong la dijelasin pasienbukan ny main lempar2 bolaklo cma jawabn suruh pasien priksa dokter sblmnya tes ulangtu jga pasien tau
mudah di mengerti,5,0.0,0.0,Positive,3,mudah mengerti,2,mudah erti
dokternya gercep,5,0.0,0.0,Positive,2,dokternya gercep,2,dokter gercep
"halo dok saya habis operasi prostat 6bulan lalu ,apa boleh saya minum obat kuat agar bisa ereksi lebih lama , terimah kasih",4,0.0,0.0,Positive,23,halo dok habis operasi prostat 6bulan minum obat kuat ereksi terimah kasih,12,halo dok habis operasi prostat 6bulan minum obat kuat ereksi terimah kasih
"sangat membantu, responmya cepat. penjelasannya mudah dipahami. thanks dr. risal",5,0.2,0.2,Positive,13,membantu responmya cepat penjelasannya mudah dipahami thanks dr risal,9,bantu responmya cepat jelas mudah paham thanks dr risal
"tidak di rekomendasi kan, sudah dibayar malah tidak bisa chat sama dokternya, dua kali bayar tetp ga ada respon",1,0.0,0.0,Negative,21,rekomendasi dibayar chat dokternya kali bayar tetp ga respon,9,rekomendasi bayar chat dokter kali bayar tetp ga respon
semoga bs mmbantu,5,0.0,0.0,Positive,3,semoga bs mmbantu,3,moga bs mmbantu
"respon dari dokternya sih sejauh ini bagus saja cepat tanggap, cmn pas order obat disini, tiba² ada pembatalan dari seller ybs, dan proses refund makan waktu yg lama.. bayangin kalau org yg dananya pas²an perlu obat itu secepatnya, smntara proses refund ±3 hari kerja (tdk termasuk hari sabtu) jadi saran saya dibenahi lg kalau mmg mau jualan barang/obat yg tdk ready jgn dimasukan keranjang olshop anda, biar tdk menyusahkan org lain, krna ini menyangkut kesehatan org lain..",1,0.2,0.5,Negative,87,respon dokternya sih bagus cepat tanggap cmn pas order obat tiba² pembatalan seller ybs proses refund makan bayangin org dananya pas²an obat secepatnya smntara proses refund ±3 kerja tdk sabtu saran dibenahi lg mmg jualan barangobat tdk ready jgn dimasukan keranjang olshop biar tdk menyusahkan org krna kesehatan org,49,respon dokter sih bagus cepat tanggap cmn pas order obat tiba batal seller ybs proses refund makan bayangin org dana pas an obat cepat smntara proses refund 3 kerja tdk sabtu saran benah lg mmg jual barangobat tdk ready jgn masuk keranjang olshop biar tdk susah org krna sehat org
cukup membantu,4,0.0,0.0,Positive,2,membantu,1,bantu
"aplikasi parah, masa waktu sdh habis. sdh konsultasi chat ke dokter blm ada jawaban karena si dokter signalnya jelek. blm dapat obat rekomendasi malah waktu habis. masa suruh bayar lagi.",1,0.0,0.0,Negative,35,aplikasi parah sdh habis sdh konsultasi chat dokter blm si dokter signalnya jelek blm obat rekomendasi habis suruh bayar,19,aplikasi parah sdh habis sdh konsultasi chat dokter blm si dokter signalnya jelek blm obat rekomendasi habis suruh bayar
"aplikasi sangat membantu dan bermanfaat, mungkin bisa di tambahkan fitur untuk mencari dokter berdasarkan lokasi atau daerah, sesuai domisili kita. untuk mempermudah dalam memilih dokter dan membuat janji ",5,0.0,0.0,Positive,31,aplikasi membantu bermanfaat tambahkan fitur mencari dokter berdasarkan lokasi daerah sesuai domisili mempermudah memilih dokter janji,16,aplikasi bantu manfaat tambah fitur cari dokter dasar lokasi daerah sesuai domisili mudah pilih dokter janji
ini saya sudah tidak pakai aplikasi alodokter (uninatall) tapi kenapa masih kena transfer fee 29rb ya ?,1,0.0,0.0,Negative,19,pakai aplikasi alodokter uninatall kena transfer fee 29rb,8,pakai aplikasi alodokter uninatall kena transfer fee 29rb
respon dokter agak lama,2,0.0,0.0,Negative,4,respon dokter,2,respon dokter
bagus respon cepat,5,0.0,0.0,Positive,3,bagus respon cepat,3,bagus respon cepat
sangaaat burukk,1,0.0,0.0,Negative,2,sangaaat burukk,2,sangaaat burukk
