content,score,sentiment_label,sentiment_rating,wordCount,review_without_stopwords,wordCount_after_stopwords,review_stem_without_stopwords
mudah mudahan bisa bermanfaat,5,neutral,positive,4,mudah mudahan bermanfaat,3,mudah mudah manfaat
respon sangat puas dan dokter nya baik,5,neutral,positive,7,respon puas dokter,3,respon puas dokter
"halo dok...perut kram d serta,i keluar lendir putih tp tdk berbau....habis hati kejala ap kah dok....",5,negative,positive,23,halo dokperut kram d sertai lendir putih tp tdk berbauhabis hati kejala ap kah,14,halo dokperut kram d serta lendir putih tp tdk berbauhabis hati jala ap kah
semakin lebij baik lagi,5,neutral,positive,4,lebij,1,lebij
sangat membantu,5,negative,positive,2,membantu,1,bantu
apakah bisa cek sertifikat vaksinasi covid,3,negative,neutral,6,cek sertifikat vaksinasi covid,4,cek sertifikat vaksinasi covid
"tolong dong vitur chatnya bisa kirim video jangan cuma foto,karena lebih akurat video jadi biar jelas kondisinya juga apallgi kalo konsultasi buat hewan.",4,neutral,positive,26,tolong vitur chatnya kirim video fotokarena akurat video biar kondisinya apallgi kalo konsultasi hewan,14,tolong vitur chatnya kirim video fotokarena akurat video biar kondisi apallgi kalo konsultasi hewan
masa mau konsul aja cuma tanya2. harus bayar 45ribu melalui bank atw sopay mending priksa langsung ke bidan cuma bayar 80 sma obat. aplikasi apa ini.,1,neutral,negative,29,konsul tanya2 bayar 45ribu bank atw sopay mending priksa langsung bidan bayar 80 sma obat aplikasi,16,konsul tanya2 bayar 45ribu bank atw sopay mending priksa langsung bidan bayar 80 sma obat aplikasi
"kurang lengkap, tidak ada spesialis andrologi",1,neutral,negative,7,lengkap spesialis andrologi,3,lengkap spesialis andrologi
the best lh pokoknya,5,positive,positive,4,the best lh pokoknya,4,the best lh pokok
sangat puas dlm konsultasi sm dokter spesialis lgsg dan berikan solusi trbaik,5,negative,positive,12,puas dlm konsultasi sm dokter spesialis lgsg solusi trbaik,9,puas dlm konsultasi sm dokter spesialis lgsg solusi trbaik
sangat membantu,4,negative,positive,2,membantu,1,bantu
fast respon,5,neutral,positive,2,fast respon,2,fast respon
"sangat baik yang , belum saya pahami adalah cara pembayarannya untuk dokter apa. operasional yang mana ?",5,neutral,positive,18,pahami pembayarannya dokter operasional,4,paham bayar dokter operasional
"dokternya baik, ramah",5,neutral,positive,4,dokternya ramah,2,dokter ramah
ramah dokternya. makasih banyak,5,neutral,positive,5,ramah dokternya makasih,3,ramah dokter makasih
"singkat, jelas, baik",5,positive,positive,5,singkat,1,singkat
"dokternya responsif, dan baik.terimakasih",5,neutral,positive,5,dokternya responsif baikterimakasih,3,dokter responsif baikterimakasih
sangat efektif,5,neutral,positive,2,efektif,1,efektif
"cepat dalam menganilisa , dan respon nya cepat",5,negative,positive,8,cepat menganilisa respon cepat,4,cepat menganilisa respon cepat
bagus,5,neutral,positive,1,bagus,1,bagus
terimakasih bu dokter,5,neutral,positive,3,terimakasih bu dokter,3,terimakasih bu dokter
"huh mo nanya lg sakit bayar juga! ga ada apa dokter yg gratis, tulus buat konsul.. hbs duit gr2 nih penyakit",1,neutral,negative,24,huh mo nanya lg sakit bayar dokter gratis tulus konsul hbs duit gr2 nih penyakit,15,huh mo nanya lg sakit bayar dokter gratis tulus konsul hbs duit gr2 nih sakit
sering bgt udah bayar dokter nya gk bales chat asli bkin rugi doang mana lg butuh bgt pdhl keterangan dokter nya online dah lah yg mw download pikir2 lg bye gw uninstall,1,neutral,negative,32,bgt bayar dokter gk bales chat asli bkin rugi doang lg butuh bgt pdhl keterangan dokter online dah mw download pikir2 lg bye gw uninstall,25,bgt bayar dokter gk bales chat asli bkin rugi doang lg butuh bgt pdhl terang dokter online dah mw download pikir2 lg bye gw uninstall
respon cepat,5,neutral,positive,2,respon cepat,2,respon cepat
sangat bermanfaat dan membantu penjelasan dari dokter nya,5,positive,positive,8,bermanfaat membantu penjelasan dokter,4,manfaat bantu jelas dokter
penjelasanx sngt memuaskan,5,negative,positive,3,penjelasanx sngt memuaskan,3,penjelasanx sngt muas
ok terimakasih semoga sukses selalu,5,neutral,positive,5,ok terimakasih semoga sukses,4,ok terimakasih moga sukses
"terimakasih, penjelasannya sangat membantu.",5,negative,positive,6,terimakasih penjelasannya membantu,3,terimakasih jelas bantu
memudahkan kita untuk dapat pelayanan walaupun saat travelling,5,negative,positive,8,memudahkan pelayanan travelling,3,mudah layan travelling
"saya chat dokter spesialis dan tidak di balas, tiba2 notif chat di tutup otomatis. uang hilang sia2, padahal sedang urgent.",1,neutral,negative,24,chat dokter spesialis balas tiba2 notif chat tutup otomatis uang hilang sia2 urgent,13,chat dokter spesialis balas tiba2 notif chat tutup otomatis uang hilang sia2 urgent
dokternya ramah dan baik. respon cepat.,5,negative,positive,8,dokternya ramah respon cepat,4,dokter ramah respon cepat
dokter baik dan sabar,5,positive,positive,4,dokter sabar,2,dokter sabar
respon dan layanan dokter sangat memuaskan.,5,positive,positive,7,respon layanan dokter memuaskan,4,respon layan dokter muas
dokter ramah penjelasannya cukup jelas,5,neutral,positive,5,dokter ramah penjelasannya,3,dokter ramah jelas
jawaban dan pelayanan dr imanuel. sangat memuaskan,5,positive,positive,8,pelayanan imanuel memuaskan,3,layan imanuel muas
"sangat baik,responnya",5,negative,positive,4,baikresponnya,1,baikresponnya
"sangat jelas arahan dokter venni, semoga allah mudahkan jg segala urusan dokter, jazaakillahu khairon",5,positive,positive,16,arahan dokter venni semoga allah mudahkan jg urusan dokter jazaakillahu khairon,11,arah dokter venni moga allah mudah jg urus dokter jazaakillahu khairon
"bagus, penjelasan detail",5,neutral,positive,4,bagus penjelasan detail,3,bagus jelas detail
"pelayanan kurang puas untuk tanya²/konsul ditutup semaunya oleh dokter, sudah bayar mahal² jawaban seadanya! kalau seperti itu di google banyak jawaban serupa!",2,negative,negative,25,pelayanan puas tanya²konsul ditutup dokter bayar mahal² seadanya google,9,layan puas tanya konsul tutup dokter bayar mahal ada google
"kirain gratis, ternyata bayar semuanya. ini mah gak membantu, ini bisnis",1,negative,negative,14,kirain gratis bayar mah membantu bisnis,6,kirain gratis bayar mah bantu bisnis
dokter ramah dan juga sangat membantu keluh kesah yang sy alami..terimakasih banyak dok ,5,positive,positive,15,dokter ramah membantu keluh kesah sy alamiterimakasih,7,dokter ramah bantu keluh kesah sy alamiterimakasih
sering kali macet,2,negative,negative,3,kali macet,2,kali macet
bagus banget buat kesehatan hidup biar lebih baik dan sehat,5,neutral,positive,10,bagus kesehatan hidup biar sehat,5,bagus sehat hidup biar sehat
ok,4,neutral,positive,1,ok,1,ok
"bagus,baik responya. love bnget",5,neutral,positive,7,bagusbaik responya love bnget,4,bagusbaik responya love bnget
terimakasih,5,neutral,positive,1,terimakasih,1,terimakasih
"saya chat dokter di app ini dan diberi resep, tapi saat saya perbedaan total pesanan dengan total pesanan yang ditampilkan di app ini. kemudian, ongkirnya juga berbeda dengan hitungan saya.",2,neutral,negative,34,chat dokter app resep perbedaan total pesanan total pesanan ditampilkan app ongkirnya berbeda hitungan,14,chat dokter app resep beda total pesan total pesan tampil app ongkirnya beda hitung
jawaban yang sangat detail terimakasih dok,5,negative,positive,6,detail terimakasih,2,detail terimakasih
dokternya ramah n responnya cepat,5,neutral,positive,5,dokternya ramah n responnya cepat,5,dokter ramah n responnya cepat
terimakasih sangat membantu dalam informatif,5,neutral,positive,5,terimakasih membantu informatif,3,terimakasih bantu informatif
"aplikasi yang sangat membantu jika ada keadaan darurat, terimakasih alodok",5,neutral,positive,11,aplikasi membantu darurat terimakasih alodok,5,aplikasi bantu darurat terimakasih alodok
penjelasan dokter nya jelas padat langsung ke intinya,5,neutral,positive,8,penjelasan dokter padat langsung intinya,5,jelas dokter padat langsung inti
responnya sangat luar bisa membantu banget di saat kondisi yang sangat darurat begini... terimakasih dok,5,neutral,positive,16,responnya membantu kondisi darurat terimakasih,5,responnya bantu kondisi darurat terimakasih
good,5,neutral,positive,1,good,1,good
"alodokter sangat membantu saya utk konsultasi ttg kesehatan,dokter²nya ramah dan baik,trmaksih alodokter",5,positive,positive,16,alodokter membantu utk konsultasi ttg kesehatandokter²nya ramah baiktrmaksih alodokter,9,alodokter bantu utk konsultasi ttg kesehatandokter nya ramah baiktrmaksih alodokter
sangat membantu bagi kami org awam mengenai kesehatan dan bingung harus ke dokter mana. terimakasih,5,neutral,positive,16,membantu org awam kesehatan bingung dokter terimakasih,7,bantu org awam sehat bingung dokter terimakasih
good. dokternya komunikatif,5,negative,positive,4,good dokternya komunikatif,3,good dokter komunikatif
melegahkan.. sangat melegahkan sekrang.. terima kasih,5,neutral,positive,8,melegahkan melegahkan sekrang terima kasih,5,melegahkan melegahkan sekrang terima kasih
terbantu sekali..terima.ksh,5,negative,positive,4,terbantu sekaliterimaksh,2,bantu sekaliterimaksh
sangt membantu tidak memakan waktu,5,negative,positive,5,sangt membantu memakan,3,sangt bantu makan
cepat responnya,5,neutral,positive,2,cepat responnya,2,cepat responnya
luar biasa dr clara,5,negative,positive,4,clara,1,clara
sangat membantu ketika malas ke klinik.. semoga makin membaik sistemnya. tingkatkan terus pelayanannya,5,negative,positive,15,membantu malas klinik semoga membaik sistemnya tingkatkan pelayanannya,8,bantu malas klinik moga baik sistem tingkat layan
"dokter sangat ramah, menjawab pertanyaan dengan jelas sehingga mudah dipahami ",5,positive,positive,11,dokter ramah mudah dipahami,4,dokter ramah mudah paham
sangat membantu ,5,negative,positive,2,membantu,1,bantu
fast respont,5,neutral,positive,2,fast respont,2,fast respont
penjelasan yg sangat memuaskan,5,negative,positive,4,penjelasan memuaskan,2,jelas muas
respon dokter cepat .. mudah dimengerti,5,negative,positive,6,respon dokter cepat mudah dimengerti,5,respon dokter cepat mudah erti
sangat memuaskan,5,negative,positive,2,memuaskan,1,muas
pertama pakai aplikasi ini sangat membantu sekali,5,neutral,positive,7,pakai aplikasi membantu,3,pakai aplikasi bantu
sudah bayar tapi tdk bisa tulis chat... aplikasi abal2 ya... untungnya hanya 9500.... waspada ya teman2,1,neutral,negative,19,bayar tdk tulis chat aplikasi abal2 untungnya 9500 waspada teman2,10,bayar tdk tulis chat aplikasi abal2 untung 9500 waspada teman2
bagus,5,neutral,positive,1,bagus,1,bagus
lumayan membantu tapi tidak bisa seakurat yg diharapkan,2,negative,negative,8,lumayan membantu seakurat diharapkan,4,lumayan bantu akurat harap
terima kasih penjelasannya dokter,5,negative,positive,4,terima kasih penjelasannya dokter,4,terima kasih jelas dokter
"dokter fatimah fitriani sp.dve sangat respon dan cepat, terimah kasij dokter",5,neutral,positive,12,dokter fatimah fitriani spdve respon cepat terimah kasij dokter,9,dokter fatimah fitriani spdve respon cepat terimah kasij dokter
dokternya balesnya lemot,1,negative,negative,3,dokternya balesnya lemot,3,dokter balesnya lot
aplikasi sangat membantu,5,neutral,positive,3,aplikasi membantu,2,aplikasi bantu
"singkat ,padat,,lugas,,bikin dada saya terasa ploooong stlh curhat ,,",5,negative,positive,15,singkat padatlugasbikin dada ploooong stlh curhat,6,singkat padatlugasbikin dada ploooong stlh curhat
dokter risma keren,5,negative,positive,3,dokter risma keren,3,dokter risma keren
"ada beberapa hal yang harus diperbaiki, salah satunya ketepatan informasi di apk dan sebenarnya.",3,neutral,neutral,16,diperbaiki salah satunya ketepatan informasi apk,6,baik salah satu tepat informasi apk
tidak ada dokter spesialis gastroenterologi di konsultasi online,3,neutral,neutral,8,dokter spesialis gastroenterologi konsultasi online,5,dokter spesialis gastroenterologi konsultasi online
kukira gratis ternyata byar,1,negative,negative,4,kukira gratis byar,3,kira gratis byar
"sungguh cepat, efisien untuk ibuk pekerja seperti saya yg gak ada waktu buat berobat untuk anak dan keluarga",5,neutral,positive,19,sungguh cepat efisien ibuk pekerja berobat anak keluarga,8,sungguh cepat efisien ibuk kerja obat anak keluarga
sangat bagus,5,negative,positive,2,bagus,1,bagus
"sangat membantu sekali,,penjelasannya pun sangat jelas,,dan mudah dipahami,,trimakasih,,mengobati rasa kecemasan ketika ank sakit",5,neutral,positive,21,membantu sekalipenjelasannya jelasdan mudah dipahamitrimakasihmengobati kecemasan ank sakit,8,bantu sekalipenjelasannya jelasdan mudah dipahamitrimakasihmengobati cemas ank sakit
sangat recommended,5,negative,positive,2,recommended,1,recommended
trimakasih dokter atas konsultasi nya,5,positive,positive,5,trimakasih dokter konsultasi,3,trimakasih dokter konsultasi
sangat bermanfaat,5,negative,positive,2,bermanfaat,1,manfaat
dah bayar nunggunya lama eh pas giliran gak di bales sebentar percakapan udah ditutup,1,negative,negative,14,dah bayar nunggunya eh pas giliran bales sebentar percakapan ditutup,10,dah bayar nunggunya eh pas gilir bales sebentar cakap tutup
suka,5,neutral,positive,1,suka,1,suka
"kirain gratis ternyata berbayar,biaya konsul nya ada tapi ga masalah juga seperti nya di liat"" komentar nya bagus dari respon dokternya pun bagus",4,neutral,positive,26,kirain gratis berbayarbiaya konsul liat komentar bagus respon dokternya bagus,10,kirain gratis berbayarbiaya konsul liat komentar bagus respon dokter bagus
halo doc saya pemakai berat sabu2 sudah ber tahun2 saya makai . setelah itu saya berhenti total sudah 1 tahun tapi kadang sering mimpi ingin memakai sabu terus setelah bangun badan semu lemes dan itu terjadi 2 minggu se kali dan 1 bulan se kali . apa kah itu berbahaya bagi tubuh ?,5,neutral,positive,53,halo doc pemakai berat sabu2 ber tahun2 makai berhenti total 1 kadang mimpi memakai sabu bangun badan semu lemes 2 minggu kali 1 kali kah berbahaya tubuh,27,halo doc pakai berat sabu2 ber tahun2 maka henti total 1 kadang mimpi pakai sabu bangun badan semu lemes 2 minggu kali 1 kali kah bahaya tubuh
terimakasih dok.. atas penjelasan nya. sangkat detail skli.,5,negative,positive,11,terimakasih penjelasan sangkat detail skli,5,terimakasih jelas sangkat detail skli
dokternya enak di aja konsultasi,5,neutral,positive,5,dokternya enak konsultasi,3,dokter enak konsultasi
bagus,5,neutral,positive,1,bagus,1,bagus
recommended!!!,5,neutral,positive,4,recommended,1,recommended
bagus sekali,5,negative,positive,2,bagus,1,bagus
ok sip,5,neutral,positive,2,ok sip,2,ok sip
"jawabannya jelas, sangat membantu terimakasih banyak",5,negative,positive,7,jawabannya membantu terimakasih,3,jawab bantu terimakasih
ini sangat membantu ,5,neutral,positive,3,membantu,1,bantu
"ribet amat dan lama skli respon urus return pengembalian dana yg dicancel,, tolong kalau ada dokter yg lagi off/cuti mending akunnya di nonaktifkan saja dlu.. gini jadinya sdh di bayar eh tiba"" dibatalkan karna dokter cuti. mana dananya lama banget kembalinya.. tuh uang mau di pake periksa lagi",1,negative,negative,54,ribet skli respon urus return pengembalian dana dicancel tolong dokter offcuti mending akunnya nonaktifkan dlu gini sdh bayar eh dibatalkan karna dokter cuti dananya kembalinya tuh uang pake periksa,29,ribet skli respon urus return kembali dana dicancel tolong dokter offcuti mending akun nonaktif dlu gin sdh bayar eh batal karna dokter cuti dana kembali tuh uang pake periksa
dokter baik,5,negative,positive,2,dokter,1,dokter
sangat bermanfaat dan sangat membantu.,5,negative,positive,6,bermanfaat membantu,2,manfaat bantu
"dokternya komunikatif & detail penjelasan nya, terima kasih dok",5,neutral,positive,10,dokternya komunikatif detail penjelasan terima kasih,6,dokter komunikatif detail jelas terima kasih
"halo dokter, apakah bersin2 keluar air bening trus di mata hidung dan tenggorokan terasa perih dan batuk apakah berbahaya dan apa obatnya",5,neutral,positive,23,halo dokter bersin2 air bening trus mata hidung tenggorokan perih batuk berbahaya obatnya,13,halo dokter bersin2 air bening trus mata hidung tenggorok perih batuk bahaya obat
kenap mesti bayar nya mahal sih,4,neutral,positive,6,kenap mesti bayar mahal sih,5,kenap mesti bayar mahal sih
pelayananya bagus baik dan ramah,5,neutral,positive,5,pelayananya bagus ramah,3,pelayananya bagus ramah
sangat membantu dan semoga lekah sembuh,5,neutral,positive,6,membantu semoga lekah sembuh,4,bantu moga lekah sembuh
"dokter responnya cepat penjelasan mudah di mengerti dan tanggap memberikan solusi, terimakasih",5,neutral,positive,13,dokter responnya cepat penjelasan mudah mengerti tanggap solusi terimakasih,9,dokter responnya cepat jelas mudah erti tanggap solusi terimakasih
sangat terbantu,1,neutral,negative,2,terbantu,1,bantu
alhamdulillah terbantu,5,neutral,positive,2,alhamdulillah terbantu,2,alhamdulillah bantu
saya sangat senang dan puas dgn dokter soal respon cepat dan santun,1,negative,negative,12,senang puas dgn dokter respon cepat santun,7,senang puas dgn dokter respon cepat santun
singkat padat jelas,5,neutral,positive,3,singkat padat,2,singkat padat
"sangat bermanfaat bagi kesehatan kita, untuk hidup sehat",5,neutral,positive,9,bermanfaat kesehatan hidup sehat,4,manfaat sehat hidup sehat
mantap,5,negative,positive,1,mantap,1,mantap
aplikasi penipu!!! pembatalan sepihak padahal saya belum isi data pengembalian sama sekali tapi direfund entah kemana,1,neutral,negative,19,aplikasi penipu pembatalan isi data pengembalian direfund kemana,8,aplikasi tipu batal isi data kembali direfund mana
bagus dokternya menjawab dgn baik dan jelas,5,neutral,positive,7,bagus dokternya dgn,3,bagus dokter dgn
dokter nya baik,4,positive,positive,3,dokter,1,dokter
terima kasih dok atas solusi dan validasinya,4,positive,positive,7,terima kasih solusi validasinya,4,terima kasih solusi validasinya
"mudah di pahami, ramah, dan sesuai anamnesa. tks",5,positive,positive,11,mudah pahami ramah sesuai anamnesa tks,6,mudah paham ramah sesuai anamnesa tks
mantap,5,negative,positive,1,mantap,1,mantap
dokternya baik banget,5,neutral,positive,3,dokternya,1,dokter
pelayanan sangat memuaskan,5,negative,positive,3,pelayanan memuaskan,2,layan muas
oke,4,neutral,positive,1,oke,1,oke
fast respon cepat,4,neutral,positive,3,fast respon cepat,3,fast respon cepat
lama pengirimannya,1,negative,negative,2,pengirimannya,1,kirim
puas,5,negative,positive,1,puas,1,puas
dokter responsif,5,negative,positive,2,dokter responsif,2,dokter responsif
dokternya baik dan ramah,4,positive,positive,4,dokternya ramah,2,dokter ramah
"yang jawab ai semua, masa infeksi kulit dikasih obat ketombe, ditanya apa jawab apa, nyesel gw, saran gw pindah ke halodoc",1,negative,negative,25,ai infeksi kulit dikasih obat ketombe nyesel gw saran gw pindah halodoc,12,ai infeksi kulit kasih obat ketombe nyesel gw saran gw pindah halodoc
respom dokter sangat baik,5,negative,positive,4,respom dokter,2,respom dokter
keterangannya jelas mudah dipahami termasuk konsultasi spesialis andrologi dan seksologi jelas dipahami,5,positive,positive,12,keterangannya mudah dipahami konsultasi spesialis andrologi seksologi dipahami,8,terang mudah paham konsultasi spesialis andrologi seksologi paham
"dokter nya ramah, baik, balas chat juga cepat",5,positive,positive,10,dokter ramah balas chat cepat,5,dokter ramah balas chat cepat
dokternya sangat ramah ,5,negative,positive,3,dokternya ramah,2,dokter ramah
sangat membantu sekali terutama untuk kirim obat,5,negative,positive,7,membantu kirim obat,3,bantu kirim obat
puas,5,negative,positive,1,puas,1,puas
bagus,5,neutral,positive,1,bagus,1,bagus
puas,5,negative,positive,1,puas,1,puas
bagus,5,neutral,positive,1,bagus,1,bagus
terima kasih dok. informasi nya cukup baik dan jelas,5,positive,positive,10,terima kasih informasi,3,terima kasih informasi
tolong adakan fitur kunsultasi dokter gratis membayar dengan metode menonton iklan,2,negative,negative,11,tolong adakan fitur kunsultasi dokter gratis membayar metode menonton iklan,10,tolong adakan fitur kunsultasi dokter gratis bayar metode tonton iklan
trims,5,neutral,positive,1,trims,1,trims
"pelayanan dokter sangat fast respon ,mudah2an obatnya cocok terima kasih dokter",5,positive,positive,12,pelayanan dokter fast respon mudah2an obatnya cocok terima kasih dokter,10,layan dokter fast respon mudah2an obat cocok terima kasih dokter
bagus,5,neutral,positive,1,bagus,1,bagus
sangat membantu. dijelaskan dengan baik.,5,positive,positive,7,membantu,1,bantu
"percuma bayar. udah chat, ga dibalas selama 30 menit sama dokternya. terus langsung di close aja sesi chatnya. ga jelas banget‼ kecewaaaaaaaaa.",1,neutral,negative,27,bayar chat dibalas 30 menit dokternya langsung close sesi chatnya banget‼ kecewaaaaaaaaa,12,bayar chat balas 30 menit dokter langsung close sesi chatnya banget kecewaaaaaaaaa
untuk penjelasannya cukup jelas dan responnya pun baik.. terima kasih dok,5,negative,positive,12,penjelasannya responnya terima kasih,4,jelas responnya terima kasih
"dokter nya ramah, sopan, dan sabar banget jawab setiap pertanyaan dr pasiennya, alhamdulillah puas konsultasi d sini, arahan prediksi nya jg tepat dan sesuai dg keadaan pasiennya.. makasih alodokter",5,neutral,positive,34,dokter ramah sopan sabar pasiennya alhamdulillah puas konsultasi d arahan prediksi jg sesuai dg pasiennya makasih alodokter,17,dokter ramah sopan sabar pasien alhamdulillah puas konsultasi d arah prediksi jg sesuai dg pasien makasih alodokter
respon lumayan cepat,4,neutral,positive,3,respon lumayan cepat,3,respon lumayan cepat
sangat membantu sekali,5,negative,positive,3,membantu,1,bantu
pliss lah tolong diperbaiki aplikasinya..mau beli obat aja loading lamaa gagal..loading lagi gagal² trus,1,positive,negative,18,pliss tolong diperbaiki aplikasinyamau beli obat loading lamaa gagalloading gagal² trus,11,pliss tolong baik aplikasinyamau beli obat loading lamaa gagalloading gagal trus
ini juga sama. untuk komunikasi atau chat online slow respon. dan waktunya terus berjalan. tdk mendapatkan apapa. kecuali saya rugi bayar untuk konsul online,1,negative,negative,28,komunikasi chat online slow respon berjalan tdk apapa kecuali rugi bayar konsul online,13,komunikasi chat online slow respon jalan tdk apapa kecuali rugi bayar konsul online
"gak ada yg gratis kah,,knpa sekedar tanya harus bayar bulanan",5,neutral,positive,12,gratis kahknpa sekedar bayar bulanan,5,gratis kahknpa dar bayar bulan
dokter angela sandi respon cepat,5,negative,positive,5,dokter angela sandi respon cepat,5,dokter angela sandi respon cepat
"bagus bgt pelayanan cepat, praktis, dokternya ramah2, maju terus alo dok",5,neutral,positive,14,bagus bgt pelayanan cepat praktis dokternya ramah2 maju alo,9,bagus bgt layan cepat praktis dokter ramah2 maju alo
oke,5,neutral,positive,1,oke,1,oke
sangat membantu,5,negative,positive,2,membantu,1,bantu
lemotnya ngajakin ribut sumpah bikin emosi.,1,negative,negative,7,lemotnya ngajakin ribut sumpah bikin emosi,6,lot ngajakin ribut sumpah bikin emosi
sangat membantu ,5,negative,positive,2,membantu,1,bantu
penjelasan yg detail suka,5,negative,positive,4,penjelasan detail suka,3,jelas detail suka
saya dari dulu pakai apk ini aman2 saja.. kenapa belakangan ini buka aplikasinya saja begitu lama bahkan ga bisa kebuka.. padahal lagi urgent..,1,negative,negative,26,pakai apk aman2 buka aplikasinya kebuka urgent,7,pakai apk aman2 buka aplikasi buka urgent
setelah curhat dg bu elisa jadi merasa lega dan kembali semangat.trimakasih bu elisa saran2 dan empatinya.,5,positive,positive,17,curhat dg bu elisa lega semangattrimakasih bu elisa saran2 empatinya,10,curhat dg bu elisa lega semangattrimakasih bu elisa saran2 empati
ramah dan santun,5,neutral,positive,3,ramah santun,2,ramah santun
ok,5,neutral,positive,1,ok,1,ok
dokter ramah dan sangat membantu,5,positive,positive,5,dokter ramah membantu,3,dokter ramah bantu
sangat tepat dan bagus sekali,5,neutral,positive,5,bagus,1,bagus
"duh gimana si alodokter ini, rugi gue mau nanya dan konsultasi dokter umum dibalesnya 1.40 jam kemudian. trus langsung ditutup. gajelas !! alodokter buang² duit doang. walaupun 12.500 rugi juga, apalagi kalo pesen yg dokter tht/kulit hadeh. tingkat in lagi deh kualitasnya !., untuk nyari si dokter org juga keburu ngantuk mumet dibales 1 setengah jam lebih ",1,positive,negative,66,duh gimana si alodokter rugi gue nanya konsultasi dokter dibalesnya 140 jam trus langsung ditutup gajelas alodokter buang² duit doang 12500 rugi kalo pesen dokter thtkulit hadeh tingkat in deh kualitasnya nyari si dokter org keburu ngantuk mumet dibales 1 jam,41,duh gimana si alodokter rugi gue nanya konsultasi dokter dibalesnya 140 jam trus langsung tutup gajelas alodokter buang duit doang 12500 rugi kalo sen dokter thtkulit hadeh tingkat in deh kualitas nyari si dokter org keburu ngantuk mumet dibales 1 jam
konsultasi tidak direspon padahal berbayar..kacauuuu,1,positive,negative,7,konsultasi direspon berbayarkacauuuu,3,konsultasi direspon berbayarkacauuuu
sangat membantu sekali,5,negative,positive,3,membantu,1,bantu
"fast respon, baik, mudah dipahami",5,positive,positive,7,fast respon mudah dipahami,4,fast respon mudah paham
berbayar ternyata... haaaddeeehhhh..,1,negative,negative,5,berbayar haaaddeeehhhh,2,bayar haaaddeeehhhh
sangat membantu,5,negative,positive,2,membantu,1,bantu
nice,5,positive,positive,1,nice,1,nice
aplikasinya lumayan bagus tingkat kan lagi,3,positive,neutral,6,aplikasinya lumayan bagus tingkat,4,aplikasi lumayan bagus tingkat
jelas sekali terima kasih,5,positive,positive,4,terima kasih,2,terima kasih
penjelasan nya sangat mudah difahami dan ramah,5,negative,positive,7,penjelasan mudah difahami ramah,4,jelas mudah difahami ramah
sangat membantu,5,negative,positive,2,membantu,1,bantu
seneng bisa konsul disini,4,negative,positive,4,seneng konsul,2,neng konsul
respon cepat,5,neutral,positive,2,respon cepat,2,respon cepat
respon cepat,5,neutral,positive,2,respon cepat,2,respon cepat
keren,5,negative,positive,1,keren,1,keren
sgt membantu,5,neutral,positive,2,sgt membantu,2,sgt bantu
sangat membantu dan memudahkan,5,positive,positive,4,membantu memudahkan,2,bantu mudah
terbaik dalam pelayanan dan sangat membantu dengan pre analisa yang akurat. terima kasih alodokter. sukses terus dalam pelayanannya,5,neutral,positive,20,terbaik pelayanan membantu pre analisa akurat terima kasih alodokter sukses pelayanannya,11,baik layan bantu pre analisa akurat terima kasih alodokter sukses layan
kalo bisa pengiriman obat jangan pakai anteraja untuk yg jauh soalnya di saat kita bner2 butuh obat itu tp pake anteraja dan akhirnya lamaaa bgt sampainya,1,neutral,negative,26,kalo pengiriman obat pakai anteraja bner2 butuh obat tp pake anteraja lamaaa bgt sampainya,14,kalo kirim obat pakai anteraja bner2 butuh obat tp pake anteraja lamaaa bgt sampai
dokternya cuma kasih saran untuk tidak mkn makanan berminyak tp ga dijelasin itu jenis jerawat apa... dan keburu tutup pdhl blm dikasih resep obat rugi dong,1,neutral,negative,27,dokternya kasih saran mkn makanan berminyak tp dijelasin jenis jerawat keburu tutup pdhl blm dikasih resep obat rugi,18,dokter kasih saran mkn makan minyak tp dijelasin jenis jerawat keburu tutup pdhl blm kasih resep obat rugi
mantep,5,neutral,positive,1,mantep,1,mantep
baru mau download semoga bisa membantu,5,negative,positive,6,download semoga membantu,3,download moga bantu
"susah banget masuk ke aplikasi nya , nomer verifikasi nya engga terkirim - kirim",1,negative,negative,14,susah masuk aplikasi nomer verifikasi engga terkirim kirim,8,susah masuk aplikasi nomer verifikasi engga kirim kirim
dokternya bagus bgt,5,neutral,positive,3,dokternya bagus bgt,3,dokter bagus bgt
terimakasih yaa alodokter saya jadi bisa beli obat dengan mudah terimakasih banyak,5,negative,positive,12,terimakasih yaa alodokter beli obat mudah terimakasih,7,terimakasih yaa alodokter beli obat mudah terimakasih
udah bayar mahal2 udah nyampein keluhan suruh nunggu 3 menit udah 2 jam nunggu jawaban kagak ada2,1,negative,negative,17,bayar mahal2 nyampein keluhan suruh nunggu 3 menit 2 jam nunggu kagak ada2,13,bayar mahal2 nyampein keluh suruh nunggu 3 menit 2 jam nunggu kagak ada2
"duh,,udah bayar ya",2,negative,negative,5,duhudah bayar,2,duhudah bayar
"terimakasih banyak, semoga allah yg membalas kebaikan bapak, betapa mulianya profesi bapak ini, terimakasih sudah membantu banyak orang termasuk saya melalui aplikasi ini ",5,positive,positive,26,terimakasih semoga allah membalas kebaikan betapa mulianya profesi terimakasih membantu orang aplikasi,12,terimakasih moga allah balas baik betapa mulia profesi terimakasih bantu orang aplikasi
"saya sangat terbantu, dengan aplikasi ini.",5,neutral,positive,8,terbantu aplikasi,2,bantu aplikasi
