content,score,sentiment_label,sentiment_rating,wordCount,review_without_stopwords,wordCount_after_stopwords
"dokter nya ramah, dan baik, menjawab lebih detail",5,neutral,positive,10,dokter ramah detail,3
sdh beberapa kali menggunakan alodok dan selalu puas dengan dokternya.. responnya cepat sat set ga pake lama,5,neutral,positive,18,sdh kali alodok puas dokternya responnya cepat sat set pake,10
dokter nya ramah,5,neutral,positive,3,dokter ramah,2
makasih udah membantu para dokter utk mendapatkan skp gratis. sukses terus,5,positive,positive,12,makasih membantu dokter utk skp gratis sukses,7
"bagus, dan ramah",5,positive,positive,4,bagus ramah,2
"respon dokter baik, semoga obatnya bisa membantu kerontokan rambut. thanks",5,neutral,positive,12,respon dokter semoga obatnya membantu kerontokan rambut thanks,8
aplikasi yg dibutuhkan,5,positive,positive,3,aplikasi dibutuhkan,2
sangat membantu,5,negative,positive,2,membantu,1
bagus,5,neutral,positive,1,bagus,1
sip aku sangat menyukainya 1 arahan yang bs di mengerti,5,positive,positive,10,sip menyukainya 1 arahan bs mengerti,6
"walau tidak semu, setidaknya sedikit masalah terselesaikan",5,neutral,positive,8,semu terselesaikan,2
dokter nya sabar saat konsultasi...analisq akurat. makasih dok,5,negative,positive,11,dokter sabar konsultasianalisq akurat makasih,5
sangat membantu banget ...alodokter... keren,5,positive,positive,7,membantu alodokter keren,3
sangat membantu karna fast respon,5,neutral,positive,5,membantu karna fast respon,4
mantap,5,negative,positive,1,mantap,1
sangat baik ramah dan details sehat terus dok,5,negative,positive,8,ramah details sehat,3
ok terimakasih dokter ramah dan menjelaskan semua pertanyaan dengan sabar,5,negative,positive,10,ok terimakasih dokter ramah sabar,5
sangat membantu atas jawaban dokternya,5,negative,positive,5,membantu dokternya,2
good,5,neutral,positive,1,good,1
respon cepat,5,neutral,positive,2,respon cepat,2
respon cepat,5,neutral,positive,2,respon cepat,2
sangat membantu,5,negative,positive,2,membantu,1
maaf dok saya punya riwayat gerd tapi sering nyeri di dada kiri kadang kanan tapi di kasih obat nitrokap aspilet dan yg lain itu sebetulnya gimana ya dok apakah ada masalah dengan jantung nya,5,neutral,positive,34,maaf riwayat gerd nyeri dada kiri kadang kanan kasih obat nitrokap aspilet gimana jantung,14
tidak bisa login menggunakan no luar negri...,3,neutral,neutral,8,login no negri,3
"dokternya ketika memberikan diagnostik cukup baik, enak untuk konsul",5,neutral,positive,10,dokternya diagnostik enak konsul,4
"mudah pemakaiannya, sangat membantu kalau minggu2 sakit butuh konsultasi spesialis. terima kasih!",5,positive,positive,15,mudah pemakaiannya membantu minggu2 sakit butuh konsultasi spesialis terima kasih,10
lumayan membantu,5,neutral,positive,2,lumayan membantu,2
sangat membantu,5,negative,positive,2,membantu,1
respon nya cepat. mksi,5,negative,positive,5,respon cepat mksi,3
udh bagus sih. mau kasih saran invoicenya bisa di lengkapi diagnosa dri dokter biar bisa di klaim ke kantor. thankyou,4,negative,positive,22,udh bagus sih kasih saran invoicenya lengkapi diagnosa dri dokter biar klaim kantor thankyou,14
duit aja jaman sekarang bagian kesehatan udah pesta juga jaman korona masih ngrekes,1,neutral,negative,13,duit jaman kesehatan pesta jaman korona ngrekes,7
ok,5,neutral,positive,1,ok,1
not recommended,1,negative,negative,2,not recommended,2
bagus ...ramah dan respon cepat,5,negative,positive,6,bagus ramah respon cepat,4
"artikel-artikel nya bagus, utk menambah pengetahuan bagi siapa saja yg ingin sehat semua nya termasuk sehat organ2 vital-nya",5,positive,positive,19,artikelartikel bagus utk menambah pengetahuan sehat sehat organ2 vitalnya,9
sangat membantu,5,negative,positive,2,membantu,1
bismilah semoga resep obatnya cocok responya cepat,5,negative,positive,7,bismilah semoga resep obatnya cocok responya cepat,7
"coba tolong di perbaiki app nya, keyboard nya kadang tdk muncul mau ngetik nya gmn?",3,neutral,neutral,17,coba tolong perbaiki app keyboard kadang tdk muncul ngetik gmn,10
saya mendownload aplikasi halo dok hanya menanyakan perihal yang setiap hari sya konsumsi.... walaupun belom tau di backup tapi gw kasih 5,5,positive,positive,23,mendownload aplikasi halo perihal sya konsumsi belom tau backup gw kasih 5,12
"senang bs cepat di respon, trimakasih",5,negative,positive,7,senang bs cepat respon trimakasih,5
sangat membantu,5,negative,positive,2,membantu,1
sangat membantu,5,negative,positive,2,membantu,1
"penipuan....mau chat dengan dokter pun harus bayar, udah di bayar pun tapi tetapi gak bisa chat dengan dokternya juga",1,neutral,negative,22,penipuanmau chat dokter bayar bayar chat dokternya,7
dokternya baik dan menjelaskan sangat jelas,5,negative,positive,6,dokternya,1
bagus,5,neutral,positive,1,bagus,1
oke,3,neutral,neutral,1,oke,1
ramah dan teliti,5,negative,positive,3,ramah teliti,2
dokternya fast respon..ramah pula,5,positive,positive,6,dokternya fast responramah,3
"mantap dokternya baik, dan fast respon",5,neutral,positive,7,mantap dokternya fast respon,4
"bagus, semoga ibu sy sembuh",5,positive,positive,6,bagus semoga sy sembuh,4
mantap,5,negative,positive,1,mantap,1
"kami mencari alat medis untuk melindingi kepala paska bedah, yang sebagian tempurung kepalanya belum dipasang.mohon share alamat di bandung .sekalian ulasan berkenaan dengan 'protektor' dimaksud.",4,positive,positive,28,mencari alat medis melindingi kepala paska bedah tempurung kepalanya dipasangmohon share alamat bandung ulasan protektor,15
"dokternya teliti, bagus respond nya dan cepat tanggap. ",5,negative,positive,10,dokternya teliti bagus respond cepat tanggap,6
sangat membantu,5,negative,positive,2,membantu,1
dokter baik,5,negative,positive,2,dokter,1
alhamdulillah sudah cepet direspon dokternya,5,neutral,positive,5,alhamdulillah cepet direspon dokternya,4
mudah dimengerti dan detail. terimakasih,5,neutral,positive,6,mudah dimengerti detail terimakasih,4
penjelasan nya oke,5,negative,positive,3,penjelasan oke,2
baik,5,negative,positive,1,,0
bermanfaat,5,negative,positive,1,bermanfaat,1
sangat membantu,5,negative,positive,2,membantu,1
mending gausah download deh duid gue hilang sma dia boro boro di beri kejelasan nya ini kaga sama sekali,1,positive,negative,19,mending gausah download deh duid gue hilang sma boro boro kejelasan kaga,12
fress respon wajib 5bintang,5,negative,positive,4,fress respon wajib 5bintang,4
penjelasan dokter sangat baik dn jelas .,5,neutral,positive,7,penjelasan dokter dn,3
good,5,neutral,positive,1,good,1
mantul,5,neutral,positive,1,mantul,1
respon cepat,5,neutral,positive,2,respon cepat,2
semoga dokter tdk lelah dgn kami.,5,neutral,positive,7,semoga dokter tdk lelah dgn,5
dokter terbaik ramah penjelasan nya detail,5,negative,positive,6,dokter terbaik ramah penjelasan detail,5
sangat membantu sekali trimaksih dok ,5,neutral,positive,5,membantu trimaksih,2
"parah sih, kita sudah bayar utk konsultasi. tp dokter balasnya lama dan tiba² dokter sudah tidak aktif + chat sudah berakhir. wkwkwk padahal belum ada 50% konsulnya. emg paling bener di halodoc",1,negative,negative,37,parah sih bayar utk konsultasi tp dokter balasnya tiba² dokter aktif chat wkwkwk 50 konsulnya emg bener halodoc,18
sangat membantu sekali,5,negative,positive,3,membantu,1
sangat membantu,5,negative,positive,2,membantu,1
sangat membantu sy krn tanpa hr ke rmh sakit dulu. smg bisa sembuh dgn minum obat yg di resepkan dokter.,5,neutral,positive,22,membantu sy krn hr rmh sakit smg sembuh dgn minum obat resepkan dokter,13
dr fast respon memberikan jawaban yg detail,5,neutral,positive,7,fast respon detail,3
terima kasih sangat membantu dok,5,neutral,positive,5,terima kasih membantu,3
respon cepat dan mudah dimengerti informasinya,5,negative,positive,6,respon cepat mudah dimengerti informasinya,5
"respon cepat, baik dokternya",5,negative,positive,5,respon cepat dokternya,3
terimakasih dok sudah merespon dengan baik,5,negative,positive,6,terimakasih merespon,2
berbayar konsul sama dokter nya itupun mahal skali gak jdi pake aplikasi nya uninstall lagi lah,1,negative,negative,16,berbayar konsul dokter itupun mahal skali jdi pake aplikasi uninstall,10
terima kasih ibuk dr.edlin gisela darmadji... sungguh sangat membantu untuk konsultasi nya ..ibuk dokter yg baek dan slalu ramah,5,positive,positive,21,terima kasih ibuk dredlin gisela darmadji sungguh membantu konsultasi ibuk dokter baek slalu ramah,14
masya allah dokternya sangat membantu ....terimakasih dokter,5,neutral,positive,8,masya allah dokternya membantu terimakasih dokter,6
baik,4,negative,positive,1,,0
terimakasih dok... penjelasannya,5,neutral,positive,4,terimakasih penjelasannya,2
responnya sangat cepat,5,negative,positive,3,responnya cepat,2
sangat membantu,5,negative,positive,2,membantu,1
terima kasih dokter atas saran dan himbauan semoga sukses selalu,5,positive,positive,10,terima kasih dokter saran himbauan semoga sukses,7
amanah dokternya. enak di ajak komunikasi,5,neutral,positive,7,amanah dokternya enak ajak komunikasi,5
nice,5,positive,positive,1,nice,1
sangat memuaskan,5,negative,positive,2,memuaskan,1
kieain gratis konsul nya ternyata bayar,3,negative,neutral,6,kieain gratis konsul bayar,4
informasi ny sangat membantu,5,positive,positive,4,informasi ny membantu,3
respon sangat baik,5,negative,positive,3,respon,1
berbayar,1,neutral,negative,1,berbayar,1
bagus banget. cuma u/ aplikasinya jika ada notif tidak muncul di layar tarik.,4,negative,positive,15,bagus u aplikasinya notif muncul layar tarik,7
"sangat membantu, dokternya ramah, mskipun agak lama balesnya mungkin ngelani yg lain ",4,neutral,positive,14,membantu dokternya ramah mskipun balesnya ngelani,6
"pelanggan yang terhormat, terima kasih telah menghubungi customer service alodokter terkait kendala bapak/ibu mengenai pesanan yang belum diterima. kami informasikan bahwa saat ini sedang dalam proses pick upanteraja sebagai mitra kurir kami dengan layanan reguler delivery. pesanan akan tiba di alamat tujuan dalam 2-4 hari setelah pesanan diserahterimakan dari pihak apotek ke pihak kurir. saya terlanjur beli obat dsini ternyata 2-4 hari baru sampek, dasar pelayanan bejat yg tidak melayani",1,positive,negative,75,pelanggan terhormat terima kasih menghubungi customer service alodokter terkait kendala bapakibu pesanan diterima informasikan proses pick upanteraja mitra kurir layanan reguler delivery pesanan alamat tujuan 24 pesanan diserahterimakan apotek kurir terlanjur beli obat dsini 24 sampek dasar pelayanan bejat melayani,40
"dokternya baik"" banget, penjelasannya rinci, obatnya juga ok banget yang diresepin.klaim pake asuransi karyawan juga segampang itu lho.",5,neutral,positive,22,dokternya penjelasannya rinci obatnya ok diresepinklaim pake asuransi karyawan segampang lho,11
"aplikasi yang sangat membantu, dan memudahkan bagi masyarakat yang mau berobat",5,neutral,positive,12,aplikasi membantu memudahkan masyarakat berobat,5
"info""",5,negative,positive,2,info,1
respon cepat & penjelasannya sampai ke detail... terimakasih dokter... salam sehat dari jambi,5,negative,positive,15,respon cepat penjelasannya detail terimakasih dokter salam sehat jambi,9
sangat membantu,5,negative,positive,2,membantu,1
semoga terbantu,5,neutral,positive,2,semoga terbantu,2
respon dokterx cepat penjelasan cepat di mengerti,5,positive,positive,7,respon dokterx cepat penjelasan cepat mengerti,6
dokter sangat komunikatif dlm merespon,5,neutral,positive,5,dokter komunikatif dlm merespon,4
"ramah, penjelasam detail",4,negative,positive,4,ramah penjelasam detail,3
mantap...dokternya teliti dan ramah.mks byk,5,negative,positive,7,mantapdokternya teliti ramahmks byk,4
"terima kasih , respon cepat dan baik dari dokter septiana wahyu s.",5,negative,positive,13,terima kasih respon cepat dokter septiana wahyu s,8
jelas dan mudah di mengerti,5,negative,positive,5,mudah mengerti,2
"tolong rubah lagi ke semelu yang dokter umum grtis, karna tidak semua org mampu membayar kalau cuma untuk bertanya aja",1,neutral,negative,21,tolong rubah semelu dokter grtis karna org membayar,8
mantap,5,negative,positive,1,mantap,1
sangat membantu,5,negative,positive,2,membantu,1
"alhamdulillah, dapat penjelasan yg sangat jelas",5,positive,positive,7,alhamdulillah penjelasan,2
penjelasannya ramah dan baik,5,negative,positive,4,penjelasannya ramah,2
terima kasih bnyak dok atas semua sarannya,5,negative,positive,7,terima kasih bnyak sarannya,4
sangat membantu sekali,5,negative,positive,3,membantu,1
sangat membantu. terima kasih,5,neutral,positive,5,membantu terima kasih,3
solusi kesehatan terbaik bagi kami yang jauh dari fasilitas kesehatan,5,positive,positive,10,solusi kesehatan terbaik fasilitas kesehatan,5
tolong adakan pembayaran ny lewat dana,2,neutral,negative,6,tolong adakan pembayaran ny dana,5
bagus sekali,5,negative,positive,2,bagus,1
mantap,5,negative,positive,1,mantap,1
sangat puas. balasan dokter cukup cepat dan penjelasan nya jelas,5,negative,positive,11,puas balasan dokter cepat penjelasan,5
respon cepat dan mudh dipahami,5,negative,positive,5,respon cepat mudh dipahami,4
"mantap aplikasi.nya,, semuanya lengkap,,",5,positive,positive,8,mantap aplikasinya lengkap,3
"sangat membantu untuk artikelnya tapi saya gak tau kalau nanya ke dokternya itu berbayar, jadi saya gaak nanya dokter. terimakasih banyak apk-nya membuat untuk menambah ilmu yang bisa di dapat di dalamnya",5,neutral,positive,34,membantu artikelnya tau nanya dokternya berbayar gaak nanya dokter terimakasih apknya menambah ilmu dalamnya,14
sangat membantu,5,negative,positive,2,membantu,1
"percuma konsultasi berbayar , ujung2 nya malah di suruh ke rumah sakit tanpa di beri resep obat tidak ada solusi !",1,neutral,negative,21,konsultasi berbayar ujung2 suruh rumah sakit resep obat solusi,9
dokternya sangan baik sekali,5,neutral,positive,4,dokternya sangan,2
terima kasih bnyk atas masukan dan konsultasi nya,5,neutral,positive,8,terima kasih bnyk masukan konsultasi,5
"baik, dokternya ramah dan bisa memberikan solusi",5,positive,positive,8,dokternya ramah solusi,3
aplikasi ribet nanya2 doang harus bayar,1,negative,negative,6,aplikasi ribet nanya2 doang bayar,5
"dokternya ramah,baik respon jg cpt",5,neutral,positive,7,dokternya ramahbaik respon jg cpt,5
mau chat bayar pakai ewalet dana tidak tersedia,5,negative,positive,8,chat bayar pakai ewalet dana tersedia,6
aplikasi yang sangat membantu sekali mampu membantu solusi kesehatan pada diri saya dan sangat terpercaya,5,neutral,positive,15,aplikasi membantu membantu solusi kesehatan terpercaya,6
ramah sekali dokter nya,5,negative,positive,4,ramah dokter,2
aplikasi nya sangat keren,5,neutral,positive,4,aplikasi keren,2
"konsul yg sat set jelas nan lengkap penjelasan nya, trims dok",5,positive,positive,12,konsul sat set nan lengkap penjelasan trims,7
pokoknya sip deh.,5,positive,positive,4,pokoknya sip deh,3
nice app.,5,negative,positive,3,nice app,2
apk alodokter sangat membantu,5,negative,positive,4,apk alodokter membantu,3
chat sama dokter berbayar 50k  waktunya aplikasi ini panen bintang satu ,1,negative,negative,11,chat dokter berbayar 50k aplikasi panen bintang,7
hiya dok,5,neutral,positive,2,hiya,1
cari yg gratis gk ada ya..syg sekali,5,negative,positive,9,cari gratis gk yasyg,4
sangat bermanfaat dan membantu,4,positive,positive,4,bermanfaat membantu,2
puas,5,negative,positive,1,puas,1
"respon sangan cepat, penjelasan sangat jelas bisa dipahami serta ramah.",5,neutral,positive,12,respon sangan cepat penjelasan dipahami ramah,6
penjelasaanya sangat baik,5,negative,positive,3,penjelasaanya,1
good,5,neutral,positive,1,good,1
"respon cepat, pelayanan bagus ramah lagi dokternya, puas berkonsultasiny",5,positive,positive,11,respon cepat pelayanan bagus ramah dokternya puas berkonsultasiny,8
"aplikasi lemah tak berguna, sudah 2x saya pesan janji temu dgn 2 dokter di 2 rs, keduanya dibatalin dgn segala macam alasan, padahal saya sudah nyetel waktu, mending mmg datang langsung saja ke rs ga usah booking2 ginian",1,positive,negative,42,aplikasi lemah berguna 2x pesan janji temu dgn 2 dokter 2 rs dibatalin dgn alasan nyetel mending mmg langsung rs booking2 ginian,22
sangat memuaskan,5,negative,positive,2,memuaskan,1
sya kira engga bayar ternyata bayar tolong untuk ada beberapa yg di gertis kan karena menurut saya harganya mahal,1,neutral,negative,19,sya engga bayar bayar tolong gertis harganya mahal,8
maksih dok..sangat puas,5,neutral,positive,5,maksih doksangat puas,3
sangat membantu dalam kesehatan,4,positive,positive,4,membantu kesehatan,2
"fast respon dokternya, ramah. terimakasih dokter",5,neutral,positive,8,fast respon dokternya ramah terimakasih dokter,6
terimakasih banyak dokter yang baik,5,neutral,positive,5,terimakasih dokter,2
bagus sekali terimkasih allo,5,positive,positive,4,bagus terimkasih allo,3
aplikasi yg bermanfaat bagi saya,5,negative,positive,5,aplikasi bermanfaat,2
memuaskan,5,negative,positive,1,memuaskan,1
sangat puas,5,neutral,positive,2,puas,1
saya sangat terbantu,5,positive,positive,3,terbantu,1
aplikasi alodokter ini sangat bagus dan kita bisa mengetahui segala penyakit dan cara mengatasi gejala penyakit jdi ayo download ,5,neutral,positive,19,aplikasi alodokter bagus penyakit mengatasi gejala penyakit jdi ayo download,10
sangat jelas,5,negative,positive,2,,0
dokternya ramah sekali,5,positive,positive,3,dokternya ramah,2
sangat jelasss gak pernah mengecewakan,5,negative,positive,5,jelasss mengecewakan,2
nyeri bahu kiri sudah5buln,4,neutral,positive,4,nyeri bahu kiri sudah5buln,4
bagus banget waktu itu aku punya masalah tentang gigi nah tapi sekarang sembuh gara gara ngedonglod apk ini makasih yah,5,neutral,positive,20,bagus gigi sembuh gara gara ngedonglod apk makasih yah,9
sukabbet sama semu di fitur2ini lengkap dan memudahkan buat konsultasi,5,positive,positive,10,sukabbet semu fitur2ini lengkap memudahkan konsultasi,6
"dr nya baik banget, sangat2 puas dengar penjelasannya. terima kasih dr",5,negative,positive,13,sangat2 puas dengar penjelasannya terima kasih,6
atas nama dokter angela sandi tagaroi.. saya mnunggu balasannya selama stngah jam tapi tidak ada balasan apa2 smpai chat otomatis trttup.. rugi saya balikin duit saya woi...,1,neutral,negative,30,nama dokter angela sandi tagaroi mnunggu balasannya stngah jam balasan apa2 smpai chat otomatis trttup rugi balikin duit woi,19
konsultasi berbayar semua.saya un instal..,1,neutral,negative,6,konsultasi berbayar semuasaya un instal,5
sangatt membantuuu ,5,positive,positive,2,sangatt membantuuu,2
"sangat membantu, direspon dengan cepat dan dokter sangat ramah dgn bahasa yg sangat santun. terimakasih dok",5,neutral,positive,18,membantu direspon cepat dokter ramah dgn bahasa santun terimakasih,9
ni apk berbayar semua gaada yg gratis mahal pula,1,negative,negative,9,ni apk berbayar gaada gratis mahal,6
dokternya baik dan responya cepat,5,neutral,positive,5,dokternya responya cepat,3
"katanya kerahasian chat di lindungi, akhir ungkap semua rahasia, setalah konsuktasi mau hapus chat rahasia, tidak bisa,,,, parah deh",1,neutral,negative,26,kerahasian chat lindungi rahasia setalah konsuktasi hapus chat rahasia parah deh,11
sangat cepat respon,5,neutral,positive,3,cepat respon,2
"responsif, baik",4,positive,positive,3,responsif,1
ramah dan menyenangkan,5,neutral,positive,3,ramah menyenangkan,2
sangat membantu,5,negative,positive,2,membantu,1
artikel artikelnya bagus.,5,negative,positive,4,artikel artikelnya bagus,3
saya kasih bintang 4 dulu karena baru mendowload aplikasinya dan belum coba,4,positive,positive,12,kasih bintang 4 mendowload aplikasinya coba,6
makasih dokter sudah memberikan saran yg baik,5,neutral,positive,7,makasih dokter saran,3
sangat membantu ketika malam butuh konsultasi,5,negative,positive,6,membantu malam butuh konsultasi,4
sangat membantu,5,negative,positive,2,membantu,1
dokternya ramah dan detail menjelaskan,5,negative,positive,5,dokternya ramah detail,3
"jangan mau pake aplikasi ini. pengiriman obatnya lelet dan lama. mending pake halodoc aja pelayanan cepet, pengiriman obat juga cepet.",1,positive,negative,24,pake aplikasi pengiriman obatnya lelet mending pake halodoc pelayanan cepet pengiriman obat cepet,13
dokter nya sgt sabar dan detail jlsin nya,5,negative,positive,8,dokter sgt sabar detail jlsin,5
tifak bisa masukdi negara selain indonesia,1,negative,negative,6,tifak masukdi negara indonesia,4
sangat bermanfaat,5,negative,positive,2,bermanfaat,1
oke,5,neutral,positive,1,oke,1
terimakasih banyak dok,5,neutral,positive,3,terimakasih,1
sangat puas,5,neutral,positive,2,puas,1
"dokternya lama banget responnya, pdh bintang 100% posisinya enggak sibuk, termasuk mahal loh 45.000, sebenernya murah murah aja harga segitu ,tapi ini responnya lama muak saya nungguinnya, mana di suruh ke dokter lain, kembaliin dulu uangnya.",1,positive,negative,44,dokternya responnya pdh bintang 100 posisinya sibuk mahal loh 45000 sebenernya murah murah harga segitu responnya muak nungguinnya suruh dokter kembaliin uangnya,22
sangat cepat dan ramah,5,neutral,positive,4,cepat ramah,2
knapa gak bisa masuk masuk ya padahal no otp udh d masukin,3,negative,neutral,12,knapa masuk masuk no otp udh d masukin,8
saya senang dengan pelayanan dari alodokter. obat yang diresepkan juga cocok dengan kondisi saya dan keluarga ,5,positive,positive,17,senang pelayanan alodokter obat diresepkan cocok kondisi keluarga,8
sangat memuaskan,5,negative,positive,2,memuaskan,1
menerang kan dengan detail.. solusi keluhan pasien..,5,neutral,positive,9,menerang detail solusi keluhan pasien,5
sangat membantu,5,negative,positive,2,membantu,1
terbaik,5,neutral,positive,1,terbaik,1
"penjelasan dokter sangat mudah dipahami ,solusi yang diberikan mudah dijalankan terima kasih sukses dan sehat selalu",5,positive,positive,17,penjelasan dokter mudah dipahami solusi mudah dijalankan terima kasih sukses sehat,11
"sangat mengecewakan, mending ke dokter aja",1,neutral,negative,7,mengecewakan mending dokter,3
penjelasannya detail dan positif vibes,5,negative,positive,5,penjelasannya detail positif vibes,4
bagus,5,neutral,positive,1,bagus,1
bagus cepat rerpon nya. terima kasih dokter,5,negative,positive,8,bagus cepat rerpon terima kasih dokter,6
bersyukur sekali ketemu dokter yang very helpful. semoga aplikasinya semakin baik/meningkat. terima kasih banyak. semangaatt,5,neutral,positive,18,bersyukur ketemu dokter very helpful semoga aplikasinya baikmeningkat terima kasih semangaatt,11
aplikasi belum dipakai sekalipun.,1,neutral,negative,5,aplikasi dipakai,2
sangat memuaskan berkonsultasi dengan dokter astrid,5,positive,positive,6,memuaskan berkonsultasi dokter astrid,4
lah konyol bgtt. udah bayar dokter. tp ga bales lg dokternya chat auto ketutup. tanggung jwbnya mana? dikira gratis. main seenaknya doang. kita bayar jg gara2 masalah urgent. mana uang ga dibalikin gjls,1,positive,negative,40,konyol bgtt bayar dokter tp bales lg dokternya chat auto ketutup tanggung jwbnya gratis main doang bayar jg gara2 urgent uang dibalikin gjls,23
pertanyaan dijawab cepat,5,neutral,positive,3,cepat,1
sangat membantu,5,negative,positive,2,membantu,1
pake aplikasi good doctor ini artikel kesehatannya lengkap penjelasannya juga dari dokter² spesialis. setiap sakit atau nyari gejala pasti di bantu. pelayanan yg diberi kan juga ramah setiap ditanyai. overall buat apk gini bagus banget no minus,5,negative,positive,40,pake aplikasi good doctor artikel kesehatannya lengkap penjelasannya dokter² spesialis sakit nyari gejala bantu pelayanan ramah overall apk gini bagus no minus,22
semoga sehat dan bahagia selalu dok,5,positive,positive,6,semoga sehat bahagia,3
respon cepat,5,neutral,positive,2,respon cepat,2
penjelasan dokter bisa langsung di mengerti,5,negative,positive,6,penjelasan dokter langsung mengerti,4
ok,5,neutral,positive,1,ok,1
"ruang chatt sama dokter error, balasan dokter tidak masuk ruang chatt kecuali dari kita harus keluar ruang chatt dulu, baru masuk ruang chatt lagi, baru balasan dari dokternya masuk. harus bolak balik keluar masuk ruang chatt buat liat balasan chatt dokternya. mohon di perbaiki lagi karena aplikasinya bermanfaat. trimakasih",4,negative,positive,55,ruang chatt dokter error balasan dokter masuk ruang chatt kecuali ruang chatt masuk ruang chatt balasan dokternya masuk bolak masuk ruang chatt liat balasan chatt dokternya mohon perbaiki aplikasinya bermanfaat trimakasih,31
engga fast respon,3,neutral,neutral,3,engga fast respon,3
aplikasi berprilaku buruk,1,negative,negative,3,aplikasi berprilaku buruk,3
"jd lebih mudah komunikasi dgn dokter,, dan tubuh jd sehat",5,neutral,positive,12,jd mudah komunikasi dgn dokter tubuh jd sehat,8
fast respon dokter baik hati menerima keluh kesah pasienn ,5,neutral,positive,9,fast respon dokter hati menerima keluh kesah pasienn,8
ini bug atau bagaimana ya? ngga bisa login/daftar. habis verifikasi otp ngga ada tombol lanjut,1,neutral,negative,17,bug ngga logindaftar habis verifikasi otp ngga tombol,8
detail memberikan pertanyaan dan jawabannya,5,positive,positive,5,detail jawabannya,2
ok,5,neutral,positive,1,ok,1
"fast respon, dokternya ramah, penjelasan mudah dimengerti",5,positive,positive,9,fast respon dokternya ramah penjelasan mudah dimengerti,7
"secara keseluruhan sdh bagus, tp kalau bisa karakter chatnya jgn dibatasi (biar kita bisa menceritakan semua keluhan dengan detail)",5,negative,positive,22,sdh bagus tp karakter chatnya jgn dibatasi biar menceritakan keluhan detail,11
responsif,5,neutral,positive,1,responsif,1
 ,5,neutral,positive,0,,0
yang terbaik,5,negative,positive,2,terbaik,1
sangat membantu,5,negative,positive,2,membantu,1
sangat bermanfaat,3,negative,neutral,2,bermanfaat,1
"dokternya fast respon baiikk juga, terimakasih dokter",5,negative,positive,8,dokternya fast respon baiikk terimakasih dokter,6
respon cepat,5,neutral,positive,2,respon cepat,2
makasih alodokter,5,negative,positive,2,makasih alodokter,2
sangat membantu di saat urgent. jawaban yg mudang di mengerti ,5,positive,positive,11,membantu urgent mudang mengerti,4
sangat baik,5,negative,positive,2,,0
"alhamdulillah, dokter nya fast respon",5,positive,positive,6,alhamdulillah dokter fast respon,4
keren,5,negative,positive,1,keren,1
pelayanannya mantaps,5,neutral,positive,2,pelayanannya mantaps,2
sangat menbantu,5,negative,positive,2,menbantu,1
baik dan jelas cara melayani nya,5,negative,positive,6,melayani,1
sangat bermanfaat skali,5,neutral,positive,3,bermanfaat skali,2
good,5,neutral,positive,1,good,1
respon cepat dan menjelaskan detil,5,neutral,positive,5,respon cepat detil,3
sangat bermanfaat dan sangat membantu,5,positive,positive,5,bermanfaat membantu,2
tidak membantu sama sekali,1,positive,negative,4,membantu,1
g di layanin cok bner2 sm kek di real life,1,negative,negative,10,g layanin cok bner2 sm kek real life,8
baik,5,negative,positive,1,,0
"dokternya detail banget pertanyaannya, walaupun harus bayar sedikit lebih mahal drpd dokter umum, mending spesialis begini... gak nyesel",5,positive,positive,21,dokternya detail pertanyaannya bayar mahal drpd dokter mending spesialis nyesel,10
"aplikasi log out sendiri, dan disuruh daftar ulang, saat login tidak bisa lagi, jadi bngung ini harus daftar baru atau bagaimana",1,positive,negative,24,aplikasi log out disuruh daftar ulang login bngung daftar,9
respon cepat,5,neutral,positive,2,respon cepat,2
sangat puas,5,neutral,positive,2,puas,1
masyaallah.. fast respon sekali. dokternya ramah..,5,neutral,positive,9,masyaallah fast respon dokternya ramah,5
sangat membantu,5,negative,positive,2,membantu,1
"dr. obsgyn di sini terbaik khususnya dr. raumanen lingkan roeroe dia sebenarnya masih pendidikan sub spesialis seksologi tapi dia kabur dari rumah karena nggak bayar spp dari universitas brawijaya malang saya tunggu ko nggak balik ya , udah bosan tapi ya ehm emang masih cinta sayang suka sekali dengan my sang obstetricians ich loeb diichh aissdddtrtiiu alleluja haleluya gbu. rsmata pusat mabes tni unhan kementerian pertahanan ri.",5,neutral,positive,69,obsgyn terbaik raumanen lingkan roeroe pendidikan sub spesialis seksologi kabur rumah nggak bayar spp universitas brawijaya malang tunggu ko nggak bosan ehm emang cinta sayang suka my sang obstetricians ich loeb diichh aissdddtrtiiu alleluja haleluya gbu rsmata pusat mabes tni unhan kementerian pertahanan ri,44
dokter sgt ramah dan sabar atas pertanyaan yg diberikan. sgt puass,5,positive,positive,12,dokter sgt ramah sabar sgt puass,6
"sangat amat membantu, dokternya ramah penjelasannya sangat amat dimengerti",5,neutral,positive,10,membantu dokternya ramah penjelasannya dimengerti,5
"respon cepat, jelas, dan ramah.. sangat membantu",5,negative,positive,10,respon cepat ramah membantu,4
"terimakasih dok semoga dikuatkan niat saya untuk berobat lebih lanjut, meskipun begitu sulit menyakinkan diri sejak kemarin",5,positive,positive,18,terimakasih semoga dikuatkan niat berobat sulit menyakinkan kemarin,8
penjelasan yg sangat jelas,5,positive,positive,4,penjelasan,1
good,5,neutral,positive,1,good,1
